Leaf_ID,Technique,Segment_Definition,Num_Conditions,Explainability_Score,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,PSI,Dev_BR,Mon_BR,Delta_BR,BadRate_pvalue,BadRate_pvalue_adj,Dev_AUC,Mon_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,ScoreShift_pvalue,ScoreShift_pvalue_adj,Statistically_Significant,Weight_Dev,Weight_Mon,Mon_Weight_Pct,Business_Impact_Score,SIS_Raw,SIS_Business_Impact,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation
1,AutoSlicer_v2,utilization_rate >= 71.9 AND loan_to_value < 68.2 AND age >= 45,3,0.3333,301,302,0.0602,0.0604,6.633505251988274e-07,0.13953488372093023,0.2251655629139073,0.08563067919297707,0.00648059244803334,0.27965233290198416,0.6687810259238831,0.5118464052287581,0.3375620518477662,0.023692810457516256,-0.31386924139024996,0.3732303732303732,0.08647561588738062,-0.2867547573429926,9.425264608872814e-05,0.0004017231683903718,True,20205140.0,20276996.0,0.05940243656439148,0.0047,0.1198,0.0047,0.6863,0.9996,Population Share: Stable,9.081,0.018958,"Gini drop 0.3139 (Dev 0.3376 -> Mon 0.0237) | KS drop 0.2868 (Dev 0.3732 -> Mon 0.0865) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
2,AutoSlicer_v2,utilization_rate >= 71.9 AND loan_to_value < 68.2 AND debt_to_income >= 25.3 AND annual_income < 8.768e+04,4,0.25,348,352,0.0696,0.0704,9.142956658898383e-06,0.16954022988505746,0.22727272727272727,0.05773249738766981,0.055564111906596825,0.38606363823706863,0.6348308017125095,0.5014705882352941,0.269661603425019,0.002941176470588225,-0.26672042695443077,0.24784470119054597,0.06029411764705883,-0.18755058354348714,6.016039294229624e-06,3.4188711111109815e-05,True,23722654.0,23897384.0,0.07000853761153299,0.0062,0.0917,0.0062,0.512,1.0,Population Share: Stable,8.5727,0.018777,"Gini drop 0.2667 (Dev 0.2697 -> Mon 0.0029) | KS drop 0.1876 (Dev 0.2478 -> Mon 0.0603) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
3,AutoSlicer_v2,utilization_rate >= 71.9 AND annual_income < 8.768e+04,2,0.5,946,954,0.1892,0.1908,1.3473763834252918e-05,0.15644820295983086,0.1960167714884696,0.03956856852863874,0.02364122529239432,0.36650221193319643,0.585657556052293,0.5265915540093008,0.17131511210458594,0.0531831080186016,-0.11813200408598434,0.15333942965521907,0.10044691101520614,-0.05289251864001293,4.6562155049028525e-12,9.299127536934554e-11,True,64263333.0,64749229.0,0.1896859854519751,0.0405,0.0476,0.0405,0.2106,1.0,Population Share: Stable,8.4404,0.02254,"Gini drop 0.1181 (Dev 0.1713 -> Mon 0.0532) | KS drop 0.0529 (Dev 0.1533 -> Mon 0.1004) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
4,AutoSlicer_v2,region = South AND utilization_rate >= 49.51 AND annual_income < 8.768e+04 AND bureau_score >= 659,4,0.25,362,363,0.0724,0.0726,5.517244878159096e-07,0.09116022099447514,0.16804407713498623,0.07688385614051109,0.0020610296721146337,0.24697572107672183,0.7002855300727642,0.5543100640538486,0.40057106014552835,0.10862012810769728,-0.29195093203783107,0.34171502256608643,0.10634024535881012,-0.23537477720727631,4.370772633461605e-06,2.545975058991385e-05,True,24723156.0,24800419.0,0.07265402214498781,0.0068,0.1069,0.0068,0.6042,1.0,Population Share: Stable,8.1811,0.021196,"Gini drop 0.2920 (Dev 0.4006 -> Mon 0.1086) | KS drop 0.2354 (Dev 0.3417 -> Mon 0.1063) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
5,AutoSlicer_v2,region = South AND utilization_rate >= 49.51 AND annual_income < 8.768e+04 AND age >= 33,4,0.25,358,361,0.0716,0.0722,5.00698315930844e-06,0.14804469273743018,0.19113573407202217,0.04309104133459199,0.12376896001678284,0.41704536076166615,0.7243117847200742,0.5729352789358746,0.44862356944014836,0.14587055787174918,-0.3027530115683992,0.3800804206619239,0.13817748659916618,-0.2419029340627577,0.016491268394150705,0.03557838459108439,True,24426657.0,24617801.0,0.07211903391692306,0.0068,0.105,0.0068,0.5878,0.9644,Population Share: Stable,8.0866,0.021859,"Gini drop 0.3028 (Dev 0.4486 -> Mon 0.1459) | KS drop 0.2419 (Dev 0.3801 -> Mon 0.1382) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
6,AutoSlicer_v2,region = South AND utilization_rate >= 49.51 AND annual_income < 8.768e+04 AND debt_to_income < 54.8,4,0.25,365,368,0.073,0.0736,4.911350751863729e-06,0.1095890410958904,0.16032608695652173,0.050737045860631325,0.04448547338819675,0.38258291203161626,0.7107692307692308,0.5642861060830454,0.42153846153846164,0.12857221216609083,-0.2929662493723708,0.32000000000000006,0.11151335637101639,-0.20848664362898367,0.0013233012893045732,0.0038865025261508265,True,24009206.0,24200350.0,0.0708960911029953,0.0067,0.0992,0.0067,0.5522,0.9961,Population Share: Stable,7.9836,0.021562,"Gini drop 0.2930 (Dev 0.4215 -> Mon 0.1286) | KS drop 0.2085 (Dev 0.3200 -> Mon 0.1115) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
7,AutoSlicer_v2,region = South AND utilization_rate >= 49.51 AND annual_income < 8.768e+04 AND loan_to_value < 81.64,4,0.25,375,378,0.075,0.0756,4.780901789506155e-06,0.12,0.164021164021164,0.044021164021164016,0.08365426660323427,0.4005091257237038,0.7249494949494949,0.5740863617803185,0.4498989898989898,0.14817272356063693,-0.30172626633835287,0.37575757575757573,0.15169456921192323,-0.2240630065456525,0.01593365527660165,0.03469665120979611,True,25459320.0,25650464.0,0.07514426992081112,0.0074,0.1024,0.0074,0.5698,0.9653,Population Share: Stable,7.9217,0.022811,"Gini drop 0.3017 (Dev 0.4499 -> Mon 0.1482) | KS drop 0.2241 (Dev 0.3758 -> Mon 0.1517) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
8,AutoSlicer_v2,utilization_rate >= 71.9 AND loan_to_value < 68.2 AND debt_to_income >= 25.3 AND employment_type = Salaried,4,0.25,372,375,0.0744,0.075,4.819303018358578e-06,0.18548387096774194,0.232,0.046516129032258074,0.11785293665845575,0.4170133779489897,0.648467020615105,0.49740581098339715,0.29693404123020994,-0.0051883780332057094,-0.30212241926341565,0.2624479839288277,0.06429597701149425,-0.19815200691733342,6.987686193074396e-06,3.9075141191672016e-05,True,25242294.0,25384945.0,0.07436641921974373,0.0073,0.0989,0.0073,0.5468,1.0,Population Share: Stable,7.8699,0.022659,"Gini drop 0.3021 (Dev 0.2969 -> Mon -0.0052) | KS drop 0.1982 (Dev 0.2624 -> Mon 0.0643) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
9,AutoSlicer_v2,utilization_rate >= 71.9 AND loan_to_value < 68.2 AND debt_to_income >= 25.3 AND bureau_score < 740,4,0.25,332,335,0.0664,0.067,5.3973377451468315e-06,0.1927710843373494,0.2417910447761194,0.049019960438769994,0.12487093333172883,0.41704536076166615,0.6214435634328359,0.47317002041411493,0.24288712686567182,-0.05365995917177013,-0.29654708603744195,0.2513992537313433,0.09371050840867112,-0.15768874532267219,0.0031401163189618,0.00831417161725113,True,22813518.0,22956169.0,0.06725120292887321,0.0058,0.0918,0.0058,0.5033,0.9917,Population Share: Stable,7.4557,0.019869,"Gini drop 0.2965 (Dev 0.2429 -> Mon -0.0537) | KS drop 0.1577 (Dev 0.2514 -> Mon 0.0937) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
10,AutoSlicer_v2,region = South AND utilization_rate >= 49.51 AND annual_income < 8.768e+04 AND employment_type = Salaried,4,0.25,374,377,0.0748,0.0754,4.7936340200871e-06,0.13636363636363635,0.17506631299734748,0.03870267663371113,0.1436650998416651,0.43068336814450614,0.6987798215261337,0.5588034687713145,0.39755964305226743,0.11760693754262896,-0.27995270550963847,0.3384932920536635,0.12744811458637822,-0.2110451774672853,0.020267488697203476,0.04267161023899165,True,24679258.0,24870402.0,0.07285904071470523,0.007,0.0952,0.007,0.5297,0.9573,Population Share: Stable,7.3588,0.021108,"Gini drop 0.2800 (Dev 0.3976 -> Mon 0.1176) | KS drop 0.2110 (Dev 0.3385 -> Mon 0.1274) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
