customer_id,age,income,region,occupation,score,target,ead,shap_age,shap_income,shap_region,shap_occupation
1,58,126820,North,Business,0.16239780813448107,0,162727,-0.05,-0.1,0.02,0.03
2,69,66023,North,Business,0.12256463161084011,0,114925,-0.05,-0.1,0.02,0.03
3,50,143707,East,Business,0.5834959481464843,0,280608,-0.15,-0.25,0.05,0.1
4,57,52747,East,Salaried,0.28242799368681437,0,169346,-0.05,-0.1,0.02,0.03
5,32,119092,North,Salaried,0.16820964947491662,0,191699,-0.05,-0.1,0.02,0.03
6,43,123969,East,Salaried,0.10638650088808568,0,170174,-0.05,-0.1,0.02,0.03
7,37,130077,North,Business,0.17289443511522495,0,247629,-0.05,-0.1,0.02,0.03
8,33,90757,North,Salaried,0.4369139098379994,0,87065,-0.05,-0.1,0.02,0.03
9,43,82606,East,Salaried,0.1353970008207678,0,51016,-0.05,-0.1,0.02,0.03
10,50,73247,North,Business,0.31587685295563195,0,244776,-0.05,-0.1,0.02,0.03
11,58,101214,North,Salaried,0.10625456269647758,0,243664,-0.05,-0.1,0.02,0.03
12,60,112002,East,Business,0.6120572031542851,1,279312,-0.15,-0.25,0.05,0.1
13,68,114505,North,Business,0.4452413703502375,0,163569,-0.05,-0.1,0.02,0.03
14,36,41837,South,Salaried,0.6312958305066868,0,143335,0.2,0.2,0.1,0.05
15,64,120592,North,Salaried,0.48868483815564157,0,148806,-0.05,-0.1,0.02,0.03
16,68,50206,North,Business,0.11016765069763808,0,100015,-0.05,-0.1,0.02,0.03
17,61,137939,East,Salaried,0.19971689165954998,0,214899,-0.05,-0.1,0.02,0.03
18,36,125450,North,Business,0.45218713560610313,0,223629,-0.05,-0.1,0.02,0.03
19,35,145003,East,Business,0.17462802355441434,1,202906,-0.05,-0.1,0.02,0.03
20,57,71976,North,Business,0.1440207698110707,0,242445,-0.05,-0.1,0.02,0.03
21,29,34474,West,SelfEmp,0.6517380326327977,1,214856,0.35,0.25,0.15,0.2
22,62,148098,East,Business,0.19765020889910967,0,111087,-0.05,-0.1,0.02,0.03
23,41,102733,North,Business,0.38490823596977686,0,143264,-0.05,-0.1,0.02,0.03
24,31,50854,North,Business,0.46330635438666146,0,100859,-0.05,-0.1,0.02,0.03
25,35,137455,North,Business,0.1323413305330861,0,193760,-0.05,-0.1,0.02,0.03
26,53,102083,East,Business,0.2595297769778212,0,72671,-0.05,-0.1,0.02,0.03
27,35,101663,North,Salaried,0.33635717727529674,0,174249,-0.05,-0.1,0.02,0.03
28,48,61411,East,Salaried,0.16974657160199658,0,121295,-0.05,-0.1,0.02,0.03
29,69,87504,North,Business,0.39408644769630885,0,71918,-0.05,-0.1,0.02,0.03
30,64,66646,East,Business,0.4268888800804863,0,161472,-0.05,-0.1,0.02,0.03
31,41,70932,North,Business,0.35324058290930715,0,167858,-0.05,-0.1,0.02,0.03
32,45,116690,East,Business,0.261803250848876,1,210371,-0.05,-0.1,0.02,0.03
33,37,35539,South,Salaried,0.7746385471317698,0,128354,0.2,0.2,0.1,0.05
