customer_id,age,region,employment_type,industry,annual_income,bureau_score,debt_to_income,utilization_rate,loan_to_value,ead,predicted_pd,actual_default
1,65,South,Salaried,Healthcare,105725.0,583.0,35.45,25.31,54.64,84437.0,0.5777,0
2,58,West,Salaried,Retail,60186.0,720.0,37.75,37.52,41.13,52758.0,0.2785,0
3,40,East,SelfEmployed,Manufacturing,78513.0,684.0,42.57,45.3,51.77,34998.0,0.4666,0
4,69,East,Salaried,Construction,85216.0,784.0,68.92,31.21,50.17,51134.0,0.3437,0
5,43,North,SelfEmployed,Construction,105280.0,656.0,57.56,73.97,41.87,59282.0,0.7365,0
6,57,North,Salaried,Construction,36134.0,697.0,47.77,41.86,57.67,71175.0,0.4777,0
7,67,North,Salaried,IT,120836.0,652.0,31.82,84.83,66.1,66035.0,0.7059,0
8,28,West,SelfEmployed,IT,98477.0,693.0,11.62,91.72,80.47,30945.0,0.5527,0
9,57,East,Salaried,Construction,83989.0,657.0,16.99,82.38,57.91,76821.0,0.5515,0
10,65,East,Salaried,Healthcare,59007.0,677.0,53.85,52.04,50.7,53948.0,0.5982,0
11,53,North,Salaried,Healthcare,57327.0,631.0,32.15,50.88,52.68,45206.0,0.5524,0
12,53,West,Salaried,IT,80757.0,658.0,30.07,24.43,89.01,95589.0,0.4734,1
13,27,West,Salaried,Construction,84876.0,655.0,63.34,58.3,51.26,41708.0,0.738,0
14,42,North,Salaried,Healthcare,82297.0,672.0,39.07,90.75,88.36,146166.0,0.7921,1
15,25,North,Salaried,IT,78195.0,693.0,63.97,12.25,64.59,139220.0,0.4883,0
16,66,North,Salaried,Construction,83639.0,526.0,63.2,72.72,91.39,99122.0,0.9614,0
17,35,South,Salaried,Retail,31288.0,709.0,14.81,83.26,62.45,42772.0,0.4281,0
18,41,East,Salaried,Construction,69678.0,774.0,66.72,93.8,49.77,79754.0,0.6527,1
19,45,South,Salaried,Construction,47335.0,745.0,14.62,35.13,70.2,68483.0,0.1812,0
20,37,South,SelfEmployed,Manufacturing,74189.0,648.0,67.81,37.0,72.32,41742.0,0.7557,0
21,27,East,Salaried,Manufacturing,101129.0,761.0,37.16,25.68,74.95,102197.0,0.2477,0
22,39,North,Salaried,Retail,56826.0,651.0,55.65,76.02,62.63,59865.0,0.7965,0
23,27,South,SelfEmployed,Retail,60814.0,718.0,52.37,17.6,42.67,17573.0,0.2968,1
24,60,South,Salaried,Construction,58010.0,555.0,41.11,29.1,74.47,125375.0,0.7563,0
