customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag
1,60,South,Salaried,Healthcare,2025Q4,101872.0,767.0,10.5,37.71,68.78,28745.0,0.2036,0.14843,0
2,68,West,Salaried,Construction,2025Q3,91719.0,767.0,27.13,20.73,87.17,47074.0,0.3959,0.19846,0
3,65,East,SelfEmployed,Manufacturing,2024Q4,54648.0,705.0,63.35,45.99,79.39,17457.0,0.2695,0.66848,1
4,49,East,Salaried,Transport,2025Q1,86972.0,725.0,42.04,49.85,94.47,30566.0,0.3378,0.55548,0
5,56,North,SelfEmployed,Retail,2025Q2,88873.0,705.0,47.95,48.05,44.33,195048.0,0.1625,0.4421,0
6,22,North,Salaried,Retail,2025Q3,77952.0,707.0,65.34,77.75,47.16,198687.0,0.2685,0.74106,0
7,61,North,SelfEmployed,Retail,2024Q4,102283.0,669.0,40.77,55.82,44.64,30610.0,0.3376,0.50886,0
8,38,West,SelfEmployed,Transport,2025Q4,70982.0,725.0,60.3,84.96,69.62,57700.0,0.3973,0.78129,1
9,69,East,Salaried,IT,2025Q4,73209.0,733.0,29.43,51.28,54.68,100793.0,0.44,0.31457,0
10,28,East,Salaried,Transport,2025Q2,63341.0,764.0,68.63,25.22,77.6,77368.0,0.5409,0.46005,0
11,35,North,Salaried,IT,2025Q2,68719.0,732.0,14.73,16.65,47.3,48867.0,0.3357,0.10112,0
12,61,West,SelfEmployed,Retail,2025Q3,76250.0,758.0,53.49,83.15,45.68,24589.0,0.2936,0.59892,0
13,37,West,Salaried,Healthcare,2025Q2,75347.0,669.0,49.63,10.06,65.31,135120.0,0.3919,0.36994,0
14,43,North,Salaried,Healthcare,2024Q4,74224.0,788.0,21.5,15.58,60.67,51252.0,0.3866,0.09436,0
15,22,North,Salaried,IT,2024Q4,103102.0,697.0,33.33,10.73,85.6,23114.0,0.2161,0.28462,0
16,26,North,Salaried,Retail,2024Q4,117567.0,597.0,28.77,43.14,86.07,70853.0,0.204,0.63505,0
17,49,South,Salaried,Transport,2025Q3,47954.0,689.0,15.67,52.94,46.46,57498.0,0.6251,0.28531,0
18,47,South,Salaried,Healthcare,2025Q3,116987.0,742.0,45.09,6.79,84.68,51224.0,0.3828,0.26091,0
19,57,South,Salaried,IT,2025Q2,96862.0,715.0,69.62,51.4,71.03,79905.0,0.4456,0.69486,0
20,69,South,SelfEmployed,Transport,2025Q3,57673.0,603.0,43.58,40.44,67.7,63007.0,0.418,0.64752,0
21,54,East,Salaried,Retail,2024Q4,71753.0,722.0,42.72,74.63,45.21,160317.0,0.407,0.5376,0
22,38,North,Salaried,Construction,2025Q1,87100.0,717.0,12.42,79.7,80.68,38590.0,0.5022,0.48485,0
23,62,South,Business,Retail,2024Q4,38625.0,657.0,18.35,66.65,43.28,42635.0,0.6184,0.42884,0
24,30,South,SelfEmployed,Retail,2025Q1,77831.0,741.0,40.79,47.61,55.27,125504.0,0.417,0.35775,0
25,58,South,Business,Transport,2025Q2,93139.0,703.0,69.11,24.45,45.25,419463.0,0.3645,0.46065,0
26,64,West,Salaried,Transport,2025Q4,61391.0,603.0,62.6,81.24,69.19,375946.0,0.4721,0.9025,0
27,37,North,Salaried,Manufacturing,2025Q3,43004.0,748.0,30.41,35.75,75.49,122067.0,0.323,0.27941,1
28,33,South,Salaried,Manufacturing,2025Q3,84966.0,720.0,42.58,37.07,89.0,57217.0,0.2056,0.47056,0
29,68,East,SelfEmployed,Transport,2024Q4,135206.0,793.0,43.16,87.44,80.36,50321.0,0.4284,0.60835,0
30,62,North,Salaried,Transport,2024Q4,62169.0,662.0,51.12,92.8,92.86,55773.0,0.2413,0.88567,0
31,47,East,Salaried,Construction,2025Q1,62824.0,697.0,51.27,85.83,81.85,21615.0,0.2556,0.80754,0
32,22,North,Salaried,Construction,2025Q3,74988.0,769.0,57.39,94.84,56.39,117955.0,0.1981,0.70879,0
33,54,North,Salaried,Retail,2025Q2,119243.0,660.0,11.5,83.2,70.12,184415.0,0.05,0.57435,0
34,51,West,Salaried,Healthcare,2024Q4,38690.0,767.0,66.62,68.39,65.19,66534.0,0.1916,0.65762,0
35,43,West,Salaried,Construction,2025Q3,99246.0,768.0,14.2,31.44,71.13,316486.0,0.3629,0.14606,0
36,27,West,Salaried,Retail,2025Q4,68227.0,727.0,38.57,90.77,71.46,492995.0,0.494,0.68571,0
37,58,South,Salaried,IT,2025Q1,70382.0,701.0,65.17,83.9,78.62,135884.0,0.2859,0.84871,0
38,53,North,Business,Manufacturing,2024Q4,54746.0,674.0,39.26,26.67,44.57,45741.0,0.2668,0.31385,0
39,32,East,SelfEmployed,Healthcare,2024Q4,73776.0,670.0,13.82,49.02,81.07,40105.0,0.3424,0.39975,0
40,65,South,Business,Retail,2025Q2,55468.0,727.0,23.75,11.31,47.91,125725.0,0.3414,0.1189,0
41,32,North,SelfEmployed,Transport,2024Q4,66442.0,552.0,44.72,90.8,41.44,152862.0,0.3433,0.87205,0
42,39,South,Salaried,IT,2025Q3,20000.0,679.0,15.27,56.55,68.54,46176.0,0.4774,0.39295,0
43,29,North,Salaried,Manufacturing,2025Q3,36652.0,672.0,35.42,27.07,71.98,32478.0,0.313,0.38813,0
44,30,West,Salaried,IT,2025Q3,88418.0,656.0,29.75,31.32,41.92,22082.0,0.2913,0.30127,0
45,37,South,Salaried,Retail,2025Q4,111556.0,720.0,58.91,93.26,68.35,35223.0,0.3516,0.81189,1
46,60,East,Salaried,Construction,2025Q4,160746.0,629.0,16.61,60.41,69.4,54571.0,0.4282,0.52899,1
47,59,South,Salaried,Manufacturing,2024Q4,103114.0,776.0,50.97,42.86,42.89,156895.0,0.6936,0.29622,0
48,61,South,Salaried,IT,2025Q4,67133.0,760.0,34.4,49.99,79.14,48976.0,0.5595,0.3744,0
49,30,South,Salaried,Construction,2025Q4,30409.0,785.0,45.27,13.87,51.57,8542.0,0.3796,0.15446,0
50,32,North,Salaried,Healthcare,2025Q2,93494.0,681.0,22.33,11.75,83.7,46228.0,0.2885,0.24438,0
51,35,West,Salaried,Retail,2025Q4,43687.0,721.0,46.58,58.34,57.1,57919.0,0.3397,0.51026,0
52,51,West,SelfEmployed,Retail,2025Q1,59821.0,755.0,50.44,51.08,66.28,57037.0,0.2694,0.46064,0
53,35,West,Salaried,Manufacturing,2025Q1,102151.0,703.0,14.21,37.32,89.05,11987.0,0.376,0.30425,0
54,48,West,Salaried,IT,2025Q1,87355.0,679.0,59.46,55.95,84.34,57595.0,0.3887,0.75343,0
55,24,East,Salaried,Healthcare,2024Q4,56773.0,717.0,61.68,11.54,83.0,184246.0,0.4233,0.43811,0
56,56,West,Salaried,Transport,2025Q3,37340.0,699.0,13.81,89.96,48.82,52770.0,0.114,0.4765,0
57,21,North,Salaried,Manufacturing,2025Q2,85306.0,651.0,46.19,31.43,42.65,45599.0,0.245,0.42615,0
58,64,North,Salaried,Transport,2024Q4,88392.0,579.0,45.64,11.46,73.32,42595.0,0.5243,0.55548,0
59,54,North,Salaried,Manufacturing,2025Q3,117597.0,659.0,10.75,20.26,62.59,81410.0,0.2178,0.19687,0
