customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag,month
1,60,South,Salaried,Healthcare,2025Q4,95759.68,767.0,10.5,37.71,68.78,28745.0,0.2036,0.10798,1,2026_04
2,68,West,Salaried,Construction,2025Q3,91719.0,767.0,27.13,20.73,87.17,47074.0,0.3959,0.15782,0,2026_04
3,65,East,SelfEmployed,Manufacturing,2024Q4,54648.0,705.0,63.35,45.99,79.39,17457.0,0.2695,0.74234,1,2026_04
4,49,East,Salaried,Transport,2025Q1,80014.24,725.0,42.04,49.85,94.47,30566.0,0.3378,0.61661,0,2026_04
5,56,North,SelfEmployed,Retail,2025Q2,88873.0,705.0,47.95,48.05,44.33,195048.0,0.1625,0.43693,0,2026_04
6,22,North,Salaried,Retail,2025Q3,77952.0,707.0,65.34,77.75,47.16,198687.0,0.2685,0.8539,1,2026_04
7,61,North,SelfEmployed,Retail,2024Q4,102283.0,669.0,40.77,55.82,44.64,30610.0,0.3376,0.47109,0,2026_04
8,38,West,SelfEmployed,Transport,2025Q4,70982.0,725.0,60.3,84.96,69.62,57700.0,0.3973,0.90063,0,2026_04
9,69,East,Salaried,IT,2025Q4,73209.0,733.0,29.43,51.28,54.68,100793.0,0.44,0.29674,0,2026_04
10,28,East,Salaried,Transport,2025Q2,63341.0,764.0,68.63,25.22,77.6,77368.0,0.5409,0.54814,0,2026_04
11,35,North,Salaried,IT,2025Q2,68719.0,732.0,14.73,16.65,47.3,48867.0,0.3357,0.04508,0,2026_04
12,61,West,SelfEmployed,Retail,2025Q3,76250.0,758.0,53.49,83.15,45.68,24589.0,0.2936,0.77112,0,2026_04
13,37,West,Salaried,Healthcare,2025Q2,75347.0,669.0,49.63,10.06,65.31,135120.0,0.3919,0.24341,0,2026_04
14,43,North,Salaried,Healthcare,2024Q4,74224.0,788.0,21.5,15.58,60.67,51252.0,0.3866,0.06021,0,2026_04
15,22,North,Salaried,IT,2024Q4,103102.0,697.0,33.33,10.73,85.6,23114.0,0.2161,0.17553,0,2026_04
16,26,North,Salaried,Retail,2024Q4,117567.0,597.0,28.77,43.14,86.07,70853.0,0.204,0.48841,1,2026_04
17,49,South,Salaried,Transport,2025Q3,45076.759999999995,689.0,15.67,52.94,46.46,57498.0,0.6251,0.19717,0,2026_04
18,47,South,Salaried,Healthcare,2025Q3,109967.78,742.0,45.09,6.79,84.68,51224.0,0.3828,0.20201,0,2026_04
19,57,South,Salaried,IT,2025Q2,91050.28,715.0,69.62,51.4,71.03,79905.0,0.4456,0.79405,0,2026_04
20,69,South,SelfEmployed,Transport,2025Q3,54212.619999999995,603.0,43.58,40.44,67.7,63007.0,0.418,0.53014,0,2026_04
21,54,East,Salaried,Retail,2024Q4,71753.0,722.0,42.72,74.63,45.21,160317.0,0.407,0.62804,0,2026_04
22,38,North,Salaried,Construction,2025Q1,80132.0,717.0,12.42,79.7,80.68,38590.0,0.5022,0.52311,0,2026_04
23,62,South,Business,Retail,2024Q4,36307.5,657.0,18.35,66.65,43.28,42635.0,0.6184,0.33835,0,2026_04
24,30,South,SelfEmployed,Retail,2025Q1,67308.2488,741.0,40.79,47.61,55.27,125504.0,0.417,0.37317,0,2026_04
25,58,South,Business,Transport,2025Q2,87550.65999999999,703.0,69.11,24.45,45.25,419463.0,0.3645,0.44546,0,2026_04
26,64,West,Salaried,Transport,2025Q4,61391.0,603.0,62.6,81.24,69.19,375946.0,0.4721,0.93329,0,2026_04
27,37,North,Salaried,Manufacturing,2025Q3,43004.0,748.0,30.41,35.75,75.49,122067.0,0.323,0.2528,0,2026_04
28,33,South,Salaried,Manufacturing,2025Q3,79868.04,720.0,42.58,37.07,89.0,57217.0,0.2056,0.47475,0,2026_04
29,68,East,SelfEmployed,Transport,2024Q4,135206.0,793.0,43.16,87.44,80.36,50321.0,0.4284,0.81382,1,2026_04
30,62,North,Salaried,Transport,2024Q4,62169.0,662.0,51.12,92.8,92.86,55773.0,0.2413,0.94383,0,2026_04
31,47,East,Salaried,Construction,2025Q1,57798.08,697.0,51.27,85.83,81.85,21615.0,0.2556,0.89929,0,2026_04
32,22,North,Salaried,Construction,2025Q3,74988.0,769.0,57.39,94.84,56.39,117955.0,0.1981,0.8837,0,2026_04
33,54,North,Salaried,Retail,2025Q2,119243.0,660.0,11.5,83.2,70.12,184415.0,0.05,0.55179,0,2026_04
34,51,West,Salaried,Healthcare,2024Q4,38690.0,767.0,66.62,68.39,65.19,66534.0,0.1916,0.82768,0,2026_04
35,43,West,Salaried,Construction,2025Q3,99246.0,768.0,14.2,31.44,71.13,316486.0,0.3629,0.10407,0,2026_04
36,27,West,Salaried,Retail,2025Q4,68227.0,727.0,38.57,90.77,71.46,492995.0,0.494,0.81573,0,2026_04
37,58,South,Salaried,IT,2025Q1,60866.3536,701.0,65.17,83.9,78.62,135884.0,0.2859,0.93444,0,2026_04
38,53,North,Business,Manufacturing,2024Q4,54746.0,674.0,39.26,26.67,44.57,45741.0,0.2668,0.20244,0,2026_04
39,32,East,SelfEmployed,Healthcare,2024Q4,73776.0,670.0,13.82,49.02,81.07,40105.0,0.3424,0.29403,0,2026_04
40,65,South,Business,Retail,2025Q2,52139.92,727.0,23.75,11.31,47.91,125725.0,0.3414,0.0558,0,2026_04
41,32,North,SelfEmployed,Transport,2024Q4,66442.0,552.0,44.72,90.8,41.44,152862.0,0.3433,0.8659,1,2026_04
42,39,South,Salaried,IT,2025Q3,18800.0,679.0,15.27,56.55,68.54,46176.0,0.4774,0.31087,0,2026_04
