Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,BR_PValue,Score_Shift_PValue,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Significant,Tree_Idx
Drift Localization Tree,174,572,0.0348,0.1144,124.0,76.0,0.09473066189635541,0.7126436781609196,0.13286713286713286,-0.5797765452937866,0.0,0.4888709677419355,0.42251167232597625,-0.06635929541595925,-0.022258064516128995,-0.1549766553480475,-0.1327185908319185,0.09903225806451613,0.17890492359932086,0.07987266553480474,0.3920266252157221,31736843.0,217252800.0,0.04031702332820924,0.16850171720426935,0.1281846938760601,0.029508781041609828,0.11749999999999997,-0.7531552628207012,age,0.06938703262564574,0.923907,"[{""feature"": ""age"", ""psi"": 0.06938703262564574}, {""feature"": ""income"", ""psi"": 0.04864809154079357}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,39.13921468774871,6.0,income >= 3.798e+04 AND income < 5.001e+04 AND age < 28.5,0.0,0.7160795982332809,True,0.0237,0.001279,0.000916,1.0,Population Share: Stable,18.4781,0.015183,"Gini drop 0.1327 (Dev -0.0223 -> Mon -0.1550) | Significant bad-rate shift (Dev 71.26% -> Mon 13.29%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,170,300,0.034,0.06,97.0,82.0,0.014767584977754416,0.5705882352941176,0.2733333333333333,-0.2972549019607843,1.8104762133930308e-10,0.627030080497105,0.38806220631013644,-0.23896787418696852,0.2540601609942099,-0.22387558737972713,-0.47793574837393704,0.22369721790707525,0.22891027075408366,0.005213052847008404,0.1611353978775111,27087582.0,83605998.0,0.034410816330999926,0.06484498350114111,0.030434167170141184,0.03465901323040812,0.09680588235294116,-0.4332507243742231,income,0.05801380643852158,0.663949,"[{""feature"": ""income"", ""psi"": 0.05801380643852158}, {""feature"": ""region"", ""psi"": 0.031774184153712914}, {""feature"": ""occupation"", ""psi"": 0.031774184153712914}, {""feature"": ""age"", ""psi"": 0.01707387817568506}]",shap_age,37.135422353920404,8.0,income < 5.001e+04 AND age >= 28.5 AND age < 35.5,7.241904853572123e-10,0.4296943943400296,True,0.0058,0.00093,0.000417,1.0,Population Share: Stable,13.279,0.028676,"Gini drop 0.4779 (Dev 0.2541 -> Mon -0.2239) | Significant bad-rate shift (Dev 57.06% -> Mon 27.33%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,1221,1141,0.2442,0.2282,185.0,248.0,0.0010842419879780673,0.15151515151515152,0.21735319894829097,0.06583804743313945,3.589187368491231e-05,0.6011374308671606,0.5860636491709713,-0.015073781696189337,0.2022748617343213,0.17212729834194263,-0.030147563392378673,0.1864864864864865,0.17346385868583608,-0.013022627800650416,2.0933226309795755e-22,209240814.0,359529949.0,0.2658098910232341,0.2788521657390072,0.013042274715773072,0.04482199676391361,0.03840545170299772,0.08400944931603521,region,0.09827674205705741,0.511479,"[{""feature"": ""region"", ""psi"": 0.09827674205705741}, {""feature"": ""income"", ""psi"": 0.06598051471162339}, {""feature"": ""age"", ""psi"": 0.01503073028697363}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,13.575561351216201,17.0,occupation = Business AND region != South AND income >= 5.001e+04 AND age >= 49.5,5.74269978958597e-05,1.6746581047836604e-21,True,0.0656,0.000959,0.0,1.0,Population Share: Stable,10.2296,0.00688,"Significant bad-rate shift (Dev 15.15% -> Mon 21.74%, p_adj=0.0001)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,174,266,0.0348,0.0532,104.0,94.0,0.007809714576035929,0.5977011494252874,0.3533834586466165,-0.24431769077867088,4.7332988328818715e-07,0.5006868131868132,0.47321870361207324,-0.02746810957473994,0.0013736263736263687,-0.05356259277585351,-0.05493621914947988,0.07802197802197797,0.08968332508659077,0.011661347064612804,0.7066139903876505,25274160.0,52978050.0,0.032107128560988026,0.04108988422305094,0.008982755662062913,0.02356408533679719,0.06500000000000002,-0.3587953817892032,age,0.062279652120830094,0.200734,"[{""feature"": ""age"", ""psi"": 0.062279652120830094}, {""feature"": ""income"", ""psi"": 0.031976689226358664}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,38.37357145874289,9.0,income < 5.001e+04 AND age >= 35.5,9.466597665763743e-07,0.8075588461573149,True,0.0023,6e-05,2.1e-05,1.0,Population Share: Stable,4.0147,0.002923,"Gini drop 0.0549 (Dev 0.0014 -> Mon -0.0536) | Significant bad-rate shift (Dev 59.77% -> Mon 35.34%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,212,315,0.0424,0.063,113.0,95.0,0.008157319101564586,0.5330188679245284,0.30158730158730157,-0.23143156633722678,9.823339897074845e-08,0.4741217484580317,0.49119617224880385,0.017074423790772175,-0.051756503083936645,-0.017607655502392294,0.03414884758154435,0.12594976311790473,0.11411483253588517,-0.011834930582019565,0.44754974889580057,29791043.0,63573291.0,0.03784516864524567,0.04930757487050442,0.01146240622525875,0.022468623992232095,0.06499999999999999,-0.34456748740542686,age,0.063809247512713,0.171902,"[{""feature"": ""age"", ""psi"": 0.063809247512713}, {""feature"": ""income"", ""psi"": 0.026065248456215388}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,38.74017896881982,18.0,region = South AND income >= 5.001e+04,2.6195573058866256e-07,0.7160795982332809,True,0.0031,0.0,0.0,1.0,Population Share: Stable,3.438,0.002151,"Significant bad-rate shift (Dev 53.30% -> Mon 30.16%, p_adj=0.0000)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,975,586,0.195,0.1172,114.0,67.0,0.03960935561454093,0.11692307692307692,0.11433447098976109,-0.002588605933315835,0.8770720491068409,0.510320516739002,0.4475311304747937,-0.06278938626420832,0.020641033478004056,-0.10493773905041259,-0.12557877252841665,0.07622715324897611,0.11241480458976788,0.03618765134079177,0.033075157463594365,147469360.0,85569019.0,0.1873382814830097,0.06636750661434399,-0.12097077486866573,0.00838298918024496,6.938893903907228e-18,0.0024600657367956913,income,0.02230861383645476,0.15256,"[{""feature"": ""income"", ""psi"": 0.02230861383645476}, {""feature"": ""age"", ""psi"": 0.01107954597423719}, {""feature"": ""region"", ""psi"": 0.00014379691028789163}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,1.039888556804945e-09,16.0,occupation = Business AND region != South AND income >= 5.001e+04 AND age < 49.5,0.8770720491068409,0.13230062985437746,False,0.0091,0.000488,0.0,1.0,Population Share: Stable,3.0512,0.014718,"Gini drop 0.1256 (Dev 0.0206 -> Mon -0.1049) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,739,394,0.1478,0.0788,77.0,50.0,0.04339734380386849,0.10419485791610285,0.12690355329949238,0.02270869538338953,0.24853196848565018,0.4927413975752345,0.4580813953488372,-0.03466000222639731,-0.014517204849531007,-0.08383720930232563,-0.06932000445279463,0.0728606740691333,0.13139534883720927,0.05853467476807597,0.963684221390084,110906628.0,59873280.0,0.14089067108310124,0.04643783875122454,-0.09445283233187671,0.021790018228817896,8.673617379884035e-19,0.07338564249934237,income,0.05361196910072802,0.120254,"[{""feature"": ""income"", ""psi"": 0.05361196910072802}, {""feature"": ""age"", ""psi"": 0.033391451477567786}, {""feature"": ""region"", ""psi"": 0.00015665233697578776}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,2.235701097310357e-09,14.0,region != South AND occupation != Business AND income >= 5.001e+04 AND age >= 54.5,0.3313759579808669,0.963684221390084,False,0.0041,0.000127,0.0,1.0,Population Share: Stable,2.4051,0.005462,"Gini drop 0.0693 (Dev -0.0145 -> Mon -0.0838) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,1172,760,0.2344,0.152,148.0,99.0,0.03569143943698229,0.12627986348122866,0.13026315789473683,0.0039832944135081705,0.797846955218295,0.4398094383445946,0.5217836458381089,0.08197420749351425,-0.12038112331081074,0.043567291676217756,0.1639484149870285,0.11826963682432434,0.07023334708659973,-0.04803628973772461,0.6024188854304316,175458947.0,115744526.0,0.22289496341340656,0.08977169172500515,-0.1331232716884014,0.004573478800285514,6.938893903907228e-18,0.01110375967731636,income,0.01157805610629297,0.0,"[{""feature"": ""income"", ""psi"": 0.01157805610629297}, {""feature"": ""age"", ""psi"": 0.005006962381850427}, {""feature"": ""region"", ""psi"": 0.0017088967129986598}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,6.010548616154058e-10,13.0,region != South AND occupation != Business AND income >= 5.001e+04 AND age < 54.5,0.8770720491068409,0.8032251805739089,False,0.0141,0.0,0.0,1.0,Population Share: Stable,0.0,0.02492,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,397,1370,0.0794,0.274,286.0,212.0,0.2410373470410672,0.7204030226700252,0.15474452554744525,-0.56565849712258,,0.49757449757449757,0.4879305569133509,-0.009643940661146655,-0.00485100485100487,-0.02413888617329818,-0.01928788132229331,0.04526554526554527,0.07277511649884316,0.02750957123329789,,73664679.0,517872657.0,0.09358021469583616,0.40166309478007917,0.308082880084243,0.016434110181150537,0.11749999999999998,-0.7351021803054077,age,0.04657770070614394,0.679475,"[{""feature"": ""age"", ""psi"": 0.04657770070614394}, {""feature"": ""income"", ""psi"": 0.01915874001845821}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,40.83752309032626,,Cluster_4: region != South AND occupation != Business AND age < 29.5,0.0,0.36965252687996236,True,0.1387,0.001061,0.000766,1.0,Population Share: Moderate Drift,13.5895,0.005285,"Population shift (Dev 7.9% -> Mon 27.4%, PSI 0.2410) | Significant bad-rate shift (Dev 72.04% -> Mon 15.47%, p_adj=0.0000)",1,0.0,0.13861969757998588,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,605,753,0.121,0.1506,110.0,190.0,0.00647756838516395,0.18181818181818182,0.25232403718459495,0.07050585536641313,,0.6234527089072543,0.5692998036832757,-0.05415290522397864,0.2469054178145087,0.13859960736655141,-0.10830581044795728,0.2565656565656565,0.15542675516499954,-0.10113890140065696,,116519413.0,301959491.0,0.14802089458331588,0.2342004004534216,0.08617950587010573,0.020440474184806733,0.06130590585317133,0.07353960296685164,income,0.058154671958313704,0.64765,"[{""feature"": ""income"", ""psi"": 0.058154671958313704}, {""feature"": ""age"", ""psi"": 0.023607224780913223}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,22.223151234595704,,Cluster_5: region != North AND region != South AND occupation = Business AND age >= 48.5,0.00494244021808754,3.2060488531290146e-16,True,0.0393,0.00191,0.000383,1.0,Population Share: Stable,12.953,0.016311,"Gini drop 0.1083 (Dev 0.2469 -> Mon 0.1386) | KS drop 0.1011 (Dev 0.2566 -> Mon 0.1554) | Significant bad-rate shift (Dev 18.18% -> Mon 25.23%, p_adj=0.0049) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,0.0018534150817828277,4.007561066411268e-17,5.0,0.7767253044654939,0.9487603305785124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
