Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,36 <= age < 46 AND occupation = Salaried,0.1536,-0.21338900149878293,-0.2388975966855812,-0.052767221862871916,0.032777,0.0915,True
2,9.174e+04 <= income < 1.203e+05,0.181,0.17169553586128772,0.09942568184783813,0.04601546961325967,0.031077,0.0206,True
3,36 <= age < 46 AND income < 6.009e+04,0.0918,-0.2605531134019492,-0.24683586164158644,-0.1413018342035759,0.023919,0.1136,True
4,income >= 1.203e+05 AND occupation = Business,0.1242,-0.09021868044563308,8.27349969317881e-05,0.05780998389694042,0.011205,0.0319,True
5,age < 36 AND region = South,0.056,-0.12144977371201693,0.06337060800029476,-0.12884063173007892,0.006801,0.0457,True
6,region = South,0.1498,-0.04408941845770664,0.03203675215746954,-0.2025119514190964,0.006605,0.0491,True
7,region = West,0.274,-0.01928788132229331,0.02750957123329789,-0.56565849712258,0.005285,0.1836,True
8,age >= 58,0.1968,0.022693563787814064,0.07193508692693229,0.043911167639283766,0.004466,0.021,True
9,income >= 1.203e+05,0.1966,-0.01910870744617643,0.033793282924796594,0.039922685656154616,0.003757,0.0225,True
10,6.009e+04 <= income < 9.174e+04,0.1734,-0.016186936407355468,-0.03531556450141632,0.007355940023068053,0.002807,0.0217,True
