Overall_Rank,Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Tree_Idx,Discovered_By,Normalized_Root_Cause_Score
1,Gradient Boosting,897,1667,0.1794,0.3334,353.0,243.0,0.09543765318656763,0.3935340022296544,0.14577084583083383,-0.24776315639882057,0.0,0.7980232461256458,0.518298885652194,-0.27972436047345184,0.5960464922512916,0.036597771304387905,-0.5594487209469037,0.6079924179303449,0.06744173949230126,-0.5405506784380436,2.6439916645161296e-75,147639674.0,561550349.0,0.18755464054276624,0.43553960226591676,0.24798496172315052,0.6637720889700536,0.19611861072601533,-0.5609866751121164,age,0.6941806440719379,0.996332,"[{""feature"": ""age"", ""psi"": 0.6941806440719379}, {""feature"": ""region"", ""psi"": 0.6672911861641506}, {""feature"": ""occupation"", ""psi"": 0.6672911861641506}, {""feature"": ""income"", ""psi"": 0.6263253394799755}]",shap_age,26.250348648202966,3.0,region != North AND occupation != Salaried AND age < 49.5,0.0,4.124626996645162e-73,True,0.2403,0.040618,0.031216,0.031216,1.0,Population Share: Stable,19.9266,0.18652,"Gini drop 0.5594 (Dev 0.5960 -> Mon 0.0366) | KS drop 0.5406 (Dev 0.6080 -> Mon 0.0674) | Significant bad-rate shift (Dev 39.35% -> Mon 14.58%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Gradient Boosting,1.0
2,Drift Localization Tree,174,572,0.0348,0.1144,124.0,76.0,0.09473066189635541,0.7126436781609196,0.13286713286713286,-0.5797765452937866,0.0,0.4888709677419355,0.42251167232597625,-0.06635929541595925,-0.022258064516128995,-0.1549766553480475,-0.1327185908319185,0.09903225806451613,0.17890492359932086,0.07987266553480474,0.3920266252157221,31736843.0,217252800.0,0.04031702332820924,0.16850171720426935,0.1281846938760601,0.029508781041609828,0.11749999999999997,-0.7531552628207012,age,0.06938703262564574,0.923907,"[{""feature"": ""age"", ""psi"": 0.06938703262564574}, {""feature"": ""income"", ""psi"": 0.04864809154079357}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,39.13921526971614,6.0,"income >= 37,982 AND income < 50,007.5 AND age < 28.5",0.0,0.7160795982332809,True,0.0237,0.001279,0.000916,0.000916,1.0,Population Share: Stable,18.4781,0.015183,"Gini drop 0.1327 (Dev -0.0223 -> Mon -0.1550) | Significant bad-rate shift (Dev 71.26% -> Mon 13.29%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drift Localization Tree,0.9273083670904879
3,Feature Binning,397,1370,0.0794,0.274,,,0.2410373470410672,0.7204030226700252,0.15474452554744525,-0.56565849712258,,0.49757449757449757,0.4879305569133509,-0.009643940661146655,-0.00485100485100487,-0.02413888617329818,-0.01928788132229331,0.04526554526554527,0.07277511649884316,0.02750957123329789,,73664679.0,517872657.0,0.09358021469583616,0.40166309478007917,0.308082880084243,0.016434110181150537,0.11749999999999998,-2.3552894345427386,region,0.2410373470410672,0.80351,"[{""feature"": ""age"", ""psi"": 0.04657770070614394}, {""feature"": ""income"", ""psi"": 0.01915874001845821}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,40.83752335345781,,region = West,,,True,0.40166309478007917,0.0010613705242018608,0.0007661936115492335,,0.5337142857142857,Moderate Drift,16.070208092862384,,,1,,,,region,categorical,1.1033205505101922,-1.2519688840325462,-0.20281852806695413,-0.5759858106701443,-0.3731672826031902,0.08567839242648705,0.6209842409947843,0.5353058485682973,212.0,-0.1251093909233992,0.1457528909770216,0.64,-0.07588051192569013,0.0610483335953365,0.72,-0.0625546954616996,0.0728764454885108,0.64,-0.613663838276122,-0.503706218169115,0.0,0.4803307104861171,0.5554768462099664,0.0,0.56565849712258,0.5353058485682973,0.44731555356056524,0.2166868351330234,0.44731555356056524,0.8812257134326033,0.9830518941967153,0.5951191099766946,0.6857142857142857,0.9599999999999999,0.6857142857142857,0.0,0.0,0.0,,"AutoSlicer, Feature Binning, K-Means Clustering",0.8064681250828036
4,Drift Localization Tree,170,300,0.034,0.06,97.0,82.0,0.014767584977754416,0.5705882352941176,0.2733333333333333,-0.2972549019607843,1.8104762133930308e-10,0.627030080497105,0.38806220631013644,-0.23896787418696852,0.2540601609942099,-0.22387558737972713,-0.47793574837393704,0.22369721790707525,0.22891027075408366,0.005213052847008404,0.1611353978775111,27087582.0,83605998.0,0.034410816330999926,0.06484498350114111,0.030434167170141184,0.03465901323040812,0.09680588235294116,-0.4332507243742231,income,0.05801380643852158,0.663949,"[{""feature"": ""income"", ""psi"": 0.05801380643852158}, {""feature"": ""region"", ""psi"": 0.031774184153712914}, {""feature"": ""occupation"", ""psi"": 0.031774184153712914}, {""feature"": ""age"", ""psi"": 0.01707387817568506}]",shap_age,37.1354237217602,8.0,"income < 50,007.5 AND age >= 28.5 AND age < 35.5",7.241904853572123e-10,0.4296943943400296,True,0.0058,0.00093,0.000417,0.000417,1.0,Population Share: Stable,13.279,0.028676,"Gini drop 0.4779 (Dev 0.2541 -> Mon -0.2239) | Significant bad-rate shift (Dev 57.06% -> Mon 27.33%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drift Localization Tree,0.6663933307371439
5,K-Means Clustering,605,753,0.121,0.1506,110.0,190.0,0.00647756838516395,0.18181818181818182,0.25232403718459495,0.07050585536641313,0.0018534150817828277,0.6234527089072543,0.5692998036832757,-0.05415290522397864,0.2469054178145087,0.13859960736655141,-0.10830581044795728,0.2565656565656565,0.15542675516499954,-0.10113890140065696,4.007561066411268e-17,116519413.0,301959491.0,0.14802089458331588,0.2342004004534216,0.08617950587010573,0.020440474184806733,0.06130590585317133,0.07353960296685164,income,0.058154671958313704,0.64765,"[{""feature"": ""income"", ""psi"": 0.058154671958313704}, {""feature"": ""age"", ""psi"": 0.023607224780913223}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,22.223151491865778,,Cluster_5: region != North AND region != South AND occupation = Business AND age >= 48.5,0.00494244021808754,3.2060488531290146e-16,True,0.0393,0.00191,0.000383,0.000383,1.0,Population Share: Stable,12.953,0.016311,"Gini drop 0.1083 (Dev 0.2469 -> Mon 0.1386) | KS drop 0.1011 (Dev 0.2566 -> Mon 0.1554) | Significant bad-rate shift (Dev 18.18% -> Mon 25.23%, p_adj=0.0049) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,5.0,0.7767253044654939,0.9487603305785124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-Means Clustering,0.6500343259074284
6,AutoSlicer,773,768,0.1546,0.1536,228.0,186.0,6.489315439749776e-06,0.2949547218628719,0.2421875,-0.052767221862871916,0.019462959378730105,0.7344519555770159,0.6277574548276245,-0.10669450074939146,0.46890391115403185,0.2555149096552489,-0.21338900149878293,0.5144213745372606,0.27552377785167936,-0.2388975966855812,8.13369414716271e-18,113710759.0,139789282.0,0.14445290992778892,0.10842085378762373,-0.03603205614016519,0.10683983692585619,0.07649371951137342,-0.2009959587516058,region,0.2119385079643885,0.626051,"[{""feature"": ""region"", ""psi"": 0.2119385079643885}, {""feature"": ""income"", ""psi"": 0.16769340702450178}, {""feature"": ""age"", ""psi"": 0.04772743271453453}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,19.79393502483088,,36 <= age < 46 AND occupation = Salaried,0.03254157265613656,1.7894127123757963e-16,True,0.0202,0.001777,0.0,1.3e-05,1.0,Population Share: Stable,12.521,0.032777,"Gini drop 0.2134 (Dev 0.4689 -> Mon 0.2555) | KS drop 0.2389 (Dev 0.5144 -> Mon 0.2755) | Significant bad-rate shift (Dev 29.50% -> Mon 24.22%, p_adj=0.0325) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.6283558091078074
7,Drift Localization Tree,1221,1141,0.2442,0.2282,185.0,248.0,0.0010842419879780673,0.15151515151515152,0.21735319894829097,0.06583804743313945,3.589187368491231e-05,0.6011374308671606,0.5860636491709713,-0.015073781696189337,0.2022748617343213,0.17212729834194263,-0.030147563392378673,0.1864864864864865,0.17346385868583608,-0.013022627800650416,2.0933226309795755e-22,209240814.0,359529949.0,0.2658098910232341,0.2788521657390072,0.013042274715773072,0.04482199676391361,0.03840545170299772,0.08400944931603521,region,0.09827674205705741,0.511479,"[{""feature"": ""region"", ""psi"": 0.09827674205705741}, {""feature"": ""income"", ""psi"": 0.06598051471162339}, {""feature"": ""age"", ""psi"": 0.01503073028697363}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,13.57556143278289,17.0,"occupation = Business AND region != South AND income >= 50,007.5 AND age >= 49.5",5.74269978958597e-05,1.6746581047836604e-21,True,0.0656,0.000959,0.0,7e-05,1.0,Population Share: Stable,10.2296,0.00688,"Significant bad-rate shift (Dev 15.15% -> Mon 21.74%, p_adj=0.0001)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drift Localization Tree,0.5133620118595007
8,Gradient Boosting,209,469,0.0418,0.0938,103.0,73.0,0.04202996285703635,0.49282296650717705,0.15565031982942432,-0.3371726466777527,0.0,0.8280820663125115,0.4156634841566348,-0.4124185821558767,0.6561641326250229,-0.16867303168673042,-0.8248371643117534,0.5805092507785308,0.20589456205894568,-0.3746146887195851,1.7500670660677346e-11,35511907.0,155355248.0,0.04511269072819237,0.12049384893863338,0.075381158210441,0.41777325290414324,0.16822252374491176,-0.6455487234087918,age,0.4977639468931079,0.327135,"[{""feature"": ""age"", ""psi"": 0.4977639468931079}, {""feature"": ""region"", ""psi"": 0.43380765911791214}, {""feature"": ""occupation"", ""psi"": 0.39868613631777355}, {""feature"": ""income"", ""psi"": 0.3408352692877793}]",shap_age,27.919471407562263,5.0,"age >= 25.5 AND age < 30.5 AND income >= 35,351",0.0,1.0111498603946911e-10,True,0.0211,0.004661,0.003664,0.003664,1.0,Population Share: Stable,6.5427,0.07737,"Gini drop 0.8248 (Dev 0.6562 -> Mon -0.1687) | KS drop 0.3746 (Dev 0.5805 -> Mon 0.2059) | Significant bad-rate shift (Dev 49.28% -> Mon 15.57%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,Gradient Boosting,0.32833934873114584
9,Feature Binning,59,61,0.0118,0.0122,,,1.3334568107036806e-05,0.3220338983050847,0.21311475409836064,-0.10891914420672408,,0.7947368421052632,0.6298076923076923,-0.1649291497975709,0.5894736842105264,0.2596153846153846,-0.3298582995951418,0.6868421052631578,0.296474358974359,-0.39036774628879883,,8821015.0,11461047.0,0.011205811098901161,0.008889211556577589,-0.0023165995423235723,0.377107378823597,0.07252222839677688,1.1920564247253473,income,1.3334568107036806e-05,0.287343,"[{""feature"": ""age"", ""psi"": 0.523675566123643}, {""feature"": ""income"", ""psi"": 0.4073852258523898}, {""feature"": ""occupation"", ""psi"": 0.30402917414572794}, {""feature"": ""region"", ""psi"": 0.2733395491726274}]",shap_age,13.950238226034706,,63509.0 < income <= 64863.0,,,True,0.008889211556577589,1.3969646310515074e-05,8.075854003141946e-07,,0.806,Stable,5.746859615511443,,,4,,,,income,numeric,-3.6298006967663534,-2.437744272041006,7.010659248238925,2.108169650346961,-4.9024895978919645,0.18259655445647444,0.31420971780978096,0.13161316335330653,13.0,-0.8045462103685788,0.0013596169381761662,0.08,-0.6151376914402124,-0.12700777110018827,0.0,-0.4022731051842894,0.0006798084690880831,0.08,-0.2448735759933315,0.03960822450680741,0.2,-0.011797875125290168,0.20259841273131463,0.08,0.10891914420672408,0.13161316335330653,1.0,1.0,1.0,0.1603159098004682,0.23364190236582677,0.678791562433259,0.3,0.0,0.3,0.25,0.12,0.0,,Feature Binning,0.288400854333696
10,Feature Binning,228,222,0.0456,0.0444,,,3.200189649859354e-05,0.22807017543859648,0.22072072072072071,-0.007349454717875764,,0.650131118881119,0.6164916833785536,-0.03363943550256532,0.3002622377622379,0.2329833667571073,-0.06727887100513064,0.3745629370629371,0.26448035861743546,-0.11008257844550162,,33387498.0,43542629.0,0.04241393939959747,0.033771752346061445,-0.008642187053536025,0.2790367455853021,0.0994686462778568,0.04391874732905254,income,3.200189649859354e-05,0.286114,"[{""feature"": ""region"", ""psi"": 0.37936070287465584}, {""feature"": ""age"", ""psi"": 0.26058672896168195}, {""feature"": ""income"", ""psi"": 0.25178653201942963}, {""feature"": ""occupation"", ""psi"": 0.22441301848544098}]",shap_age,16.30559339814848,,49487.0 < income <= 54028.0,,,True,0.033771752346061445,5.044118320751508e-05,0.0,,0.4137142857142857,Stable,5.7222742023227005,,,5,,,,income,numeric,-2.514190209762727,-2.4702714624336743,2.828818472527459,2.1479138596763665,-0.6809046128510925,0.20676133356964366,0.31418136109576617,0.10742002752612251,49.0,-0.27590569869092313,0.1486868974546797,0.56,-0.24466917076627248,0.05821289077568464,0.24,-0.13795284934546156,0.07434344872733985,0.56,-0.06369428639165481,0.0874436936936937,0.96,0.033059406154169836,0.14979165612161377,0.0,0.007349454717875764,0.10742002752612251,0.532719288128863,0.4746040220835979,0.532719288128863,0.0,0.18873007119663449,0.3457545339075917,0.6857142857142857,0.6,0.6857142857142857,0.9599999999999999,0.0,0.0,,Feature Binning,0.2871673297655801
