Feature,Segment_Definition,Bin_Type,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,PSI,PSI_Interpretation,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,Dev_BR,Mon_BR,Delta_BR,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Calibration_Drift,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Dev_EAD,Mon_EAD,Mon_Exposure_Pct,Dev_Exposure_Pct,Exposure_Drift,Top_SHAP_Feature,Top_SHAP_PSI,feature_drift_details,mean_feature_psi,mean_shap_shift,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Confidence_Score,Significant,SIS_Raw,DIS_Raw,Business_Impact_Score,Severity_Score,Rank,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,Technique
region,region = West,categorical,397,1370,0.0794,0.274,0.2410373470410672,Moderate Drift,0.49757449757449757,0.4879305569133509,-0.009643940661146655,-0.00485100485100487,-0.02413888617329818,-0.01928788132229331,0.04526554526554527,0.07277511649884316,0.02750957123329789,0.7204030226700252,0.15474452554744525,-0.56565849712258,1.1033205505101922,-1.2519688840325462,-2.3552894345427386,-0.20281852806695413,-0.5759858106701443,-0.3731672826031902,0.08567839242648705,0.6209842409947843,0.5353058485682973,73664679.0,517872657.0,0.40166309478007917,0.09358021469583616,0.308082880084243,shap_age,40.83752309032626,"[{""feature"": ""age"", ""psi"": 0.04657770070614394}, {""feature"": ""income"", ""psi"": 0.01915874001845821}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.016434110181150537,0.11749999999999998,212,-0.1251093909233992,0.1457528909770216,0.64,-0.07588051192569013,0.0610483335953365,0.72,-0.0625546954616996,0.0728764454885108,0.64,-0.613663838276122,-0.503706218169115,0.0,0.4803307104861171,0.5554768462099664,0.0,0.56565849712258,0.5353058485682973,0.44731555356056524,0.2166868351330234,0.44731555356056524,0.8812257134326033,0.9830518941967153,0.5951191099766946,0.6857142857142857,0.9599999999999999,0.6857142857142857,0.0,0.0,0.0,0.5337142857142857,True,0.0010613705242018608,0.0007661936115492335,0.40166309478007917,16.070208092862384,1,region,0.2410373470410672,0.80351,Feature Binning
age,age <= 23.5,numeric,129,449,0.0258,0.0898,0.07982147093635726,Stable,0.5101258894362343,0.47971262401642145,-0.03041326541981282,0.02025177887246854,-0.0405747519671571,-0.06082653083962564,0.0977011494252874,0.15145398563120083,0.053752836205913423,0.6744186046511628,0.1759465478841871,-0.4984720567669757,0.45496599457802156,-0.9658167745988406,-1.4207827691768622,0.3540147304071753,-0.7494727464765156,-1.1034874768836909,0.12695357531541507,0.597084662751615,0.4701310874361999,24115297.0,169993646.0,0.13184742044666248,0.030634962391051127,0.10121245805561135,shap_age,38.59785546541684,"[{""feature"": ""income"", ""psi"": 0.12409579905639789}, {""feature"": ""age"", ""psi"": 0.005506799018820016}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.032400649518804475,0.11749999999999994,79,-0.22398747603914035,0.2401914022040791,0.52,-0.11616562610712322,0.07958120744117608,0.96,-0.11199373801957017,0.12009570110203956,0.52,-0.5720576302204726,-0.45093014623366307,0.0,0.39956634396512863,0.49894682690620257,0.0,0.4984720567669757,0.4701310874361999,0.5212368421430444,0.16749370097575933,0.5212368421430444,0.7751797526142807,0.8620622924614905,0.5694418860675239,0.6857142857142857,0.9599999999999999,0.6857142857142857,0.0,0.0,0.0,0.5337142857142857,True,0.00036008997124798776,0.00026494939524392353,0.13184742044666248,7.6938541582413915,3,age,0.07982147093635726,0.384693,Feature Binning
income,63509.0 < income <= 64863.0,numeric,59,61,0.0118,0.0122,1.3334568107036806e-05,Stable,0.7947368421052632,0.6298076923076923,-0.1649291497975709,0.5894736842105264,0.2596153846153846,-0.3298582995951418,0.6868421052631578,0.296474358974359,-0.39036774628879883,0.3220338983050847,0.21311475409836064,-0.10891914420672408,-3.6298006967663534,-2.437744272041006,1.1920564247253473,7.010659248238925,2.108169650346961,-4.9024895978919645,0.18259655445647444,0.31420971780978096,0.13161316335330653,8821015.0,11461047.0,0.008889211556577589,0.011205811098901161,-0.0023165995423235723,shap_age,13.950236605464719,"[{""feature"": ""age"", ""psi"": 0.523675566123643}, {""feature"": ""income"", ""psi"": 0.4073852258523898}, {""feature"": ""occupation"", ""psi"": 0.30402917414572794}, {""feature"": ""region"", ""psi"": 0.2733395491726274}]",0.377107378823597,0.07252222839677688,13,-0.8045462103685788,0.0013596169381761662,0.08,-0.6151376914402124,-0.12700777110018827,0.0,-0.4022731051842894,0.0006798084690880831,0.08,-0.2448735759933315,0.03960822450680741,0.2,-0.011797875125290168,0.20259841273131463,0.08,0.10891914420672408,0.13161316335330653,1.0,1.0,1.0,0.1603159098004682,0.23364190236582677,0.678791562433259,0.3,0.0,0.3,0.25,0.12,0.0,0.806,True,1.3969646310515074e-05,8.075854003141946e-07,0.008889211556577589,5.746859615511443,4,income,1.3334568107036806e-05,0.287343,Feature Binning
income,49487.0 < income <= 54028.0,numeric,228,222,0.0456,0.0444,3.200189649859354e-05,Stable,0.650131118881119,0.6164916833785536,-0.03363943550256532,0.3002622377622379,0.2329833667571073,-0.06727887100513064,0.3745629370629371,0.26448035861743546,-0.11008257844550162,0.22807017543859648,0.22072072072072071,-0.007349454717875764,-2.514190209762727,-2.4702714624336743,0.04391874732905254,2.828818472527459,2.1479138596763665,-0.6809046128510925,0.20676133356964366,0.31418136109576617,0.10742002752612251,33387498.0,43542629.0,0.033771752346061445,0.04241393939959747,-0.008642187053536025,shap_age,13.719126333897448,"[{""feature"": ""region"", ""psi"": 0.3793607028746559}, {""feature"": ""age"", ""psi"": 0.26058672896168195}, {""feature"": ""income"", ""psi"": 0.25178653201942963}, {""feature"": ""occupation"", ""psi"": 0.22441301848544098}]",0.2790367455853021,0.0994686462778568,49,-0.27590569869092313,0.1486868974546797,0.56,-0.24466917076627248,0.05821289077568464,0.24,-0.13795284934546156,0.07434344872733985,0.56,-0.06369428639165481,0.0874436936936937,0.96,0.033059406154169836,0.14979165612161377,0.0,0.007349454717875764,0.10742002752612251,0.532719288128863,0.4746040220835979,0.532719288128863,0.0,0.18873007119663449,0.3457545339075917,0.6857142857142857,0.6,0.6857142857142857,0.9599999999999999,0.0,0.0,0.4137142857142857,True,5.044118320751508e-05,0.0,0.033771752346061445,5.7222742023227005,5,income,3.200189649859354e-05,0.286114,Feature Binning
region,region = South,categorical,496,749,0.0992,0.1498,0.02085545067368997,Stable,0.4958483164432822,0.4738036072144289,-0.02204470922885332,-0.0083033671134356,-0.05239278557114224,-0.04408941845770664,0.05707747629944426,0.0891142284569138,0.03203675215746954,0.5362903225806451,0.33377837116154874,-0.2025119514190964,0.275220455938359,0.16966727662810246,-0.10555317931025651,-0.19235335372624965,-1.2773737714767823,-1.0850204177505327,0.1382787727075399,0.3414997735439297,0.20322100083638978,70441769.0,150731554.0,0.11690770239033998,0.08948597830141222,0.027421724088927762,shap_region,40.4563355556972,"[{""feature"": ""age"", ""psi"": 0.033776636917587186}, {""feature"": ""income"", ""psi"": 0.01566766574970355}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.012361075666822683,0.06499999999999995,250,-0.1798760393391345,0.08823650134655794,0.64,-0.06174928250228072,0.0733154371443309,0.92,-0.08993801966956726,0.04411825067327897,0.64,-0.256918296976614,-0.14355868308282013,0.0,0.13022338287590535,0.24400232247819903,0.0,0.2025119514190964,0.20322100083638978,0.4914518364002608,0.20820061138040064,0.4914518364002608,0.30804124119156867,0.36657378562411735,0.3731438621993216,0.6857142857142857,0.9599999999999999,0.6857142857142857,0.0,0.0,0.0,0.5337142857142857,True,0.00038606400661009304,0.00013201809315224752,0.11690770239033998,5.028196287438562,6,region,0.02085545067368997,0.25141,Feature Binning
income,54879.5 < income <= 63509.0,numeric,475,369,0.095,0.0738,0.005353384991875217,Stable,0.7708732898606316,0.6594467176658958,-0.11142657219473584,0.5417465797212633,0.3188934353317916,-0.22285314438947168,0.5750543408771256,0.3108877423945917,-0.2641665984825339,0.16631578947368422,0.2086720867208672,0.042356297247182984,-4.354595531849327,-2.831433694277546,1.5231618375717808,5.92776944380555,2.9368359555293373,-2.990933488276213,0.2316931179222746,0.2650800964274953,0.03338697850522071,69995416.0,63301995.0,0.04909715713655277,0.08891895201232555,-0.03982179487577278,shap_age,13.240671533868424,"[{""feature"": ""region"", ""psi"": 0.20569253506869364}, {""feature"": ""age"", ""psi"": 0.09054791015715793}, {""feature"": ""occupation"", ""psi"": 0.066570411832428}, {""feature"": ""income"", ""psi"": 0.016727096288283096}]",0.09488448833664068,0.06423513050919982,77,-0.43986644064616515,-0.0452314925995799,0.0,-0.39457490338340134,-0.12770230286102338,0.0,-0.21993322032308257,-0.02261574629978995,0.0,0.003450862929681915,0.10354286121808585,0.04,-0.015527763355160925,0.07038171365178582,0.32,0.042356297247182984,0.03338697850522071,0.8095759238761283,0.763435304208051,0.8095759238761283,0.055254218434366564,0.051296055932219316,0.49782748526537873,0.0,0.0,0.0,0.05454545454545454,0.39999999999999997,0.0,0.909090909090909,True,0.0004037397208083502,0.0,0.04909715713655277,4.987115707295069,7,income,0.005353384991875217,0.249356,Feature Binning
age,28.5 < age <= 29.5,numeric,60,132,0.012,0.0264,0.01135378598924549,Stable,0.6631944444444444,0.5375375375375375,-0.1256569069069069,0.32638888888888884,0.07507507507507505,-0.2513138138138138,0.33333333333333337,0.2831402831402831,-0.05019305019305026,0.8,0.1590909090909091,-0.640909090909091,-5.016932158980803,-3.107657511642645,1.9092746473381585,8.609432704359323,1.855736047397609,-6.753696656961714,0.08992177995286654,0.6154086950721968,0.5254869151193302,11711016.0,49425785.0,0.03833474020435648,0.014877135235821397,0.023457604968535085,shap_age,36.608164976903055,"[{""feature"": ""income"", ""psi"": 0.2081866245099675}, {""feature"": ""age"", ""psi"": 0.0}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.052046656127491875,0.11749999999999997,21,-0.6325395959073346,0.18591325536062367,0.28,-0.29691325688128756,0.10424232464057087,0.52,-0.3162697979536673,0.09295662768031183,0.28,-0.7420454545454546,-0.5618181818181818,0.0,0.3660346420276803,0.5205570182091841,0.0,0.640909090909091,0.5254869151193302,0.8602239199523967,0.362340795651507,0.8602239199523967,1.0,0.9648241504072541,0.8095225571927109,0.6,0.9599999999999999,0.6,0.0,0.0,0.0,0.5680000000000001,True,0.00012716945686260507,7.297538282937436e-05,0.03833474020435648,4.86841031041531,8,age,0.01135378598924549,0.243421,Feature Binning
age,23.5 < age <= 28.5,numeric,208,789,0.0416,0.1578,0.15492112162099742,Moderate Drift,0.4555594283722551,0.4854927199831188,0.02993329161086372,-0.08888114325548979,-0.02901456003376235,0.05986658322172744,0.13093993261298942,0.06594218189491455,-0.06499775071807487,0.7259615384615384,0.14195183776932827,-0.5840097006922101,2.726094079237853,-1.1226553356718667,-3.8487494149097197,-2.2573750632056915,-0.8713859301119825,1.3859891330937089,0.09108221338078437,0.6355176791354238,0.5444354657546394,37838366.0,298453226.0,0.23148093412906018,0.04806811706896364,0.18341281706009654,shap_age,39.639324927596746,"[{""feature"": ""age"", ""psi"": 0.02736004685887701}, {""feature"": ""income"", ""psi"": 0.012601815530585815}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.009990465597365706,0.11749999999999998,112,-0.11658966810641594,0.23419441546202674,0.64,-0.17704987695828198,0.012120663059116804,0.16,-0.05829483405320797,0.11709720773101337,0.64,-0.6422155296382958,-0.5185461757823926,0.0,0.45501907736246705,0.5605893392217568,0.0,0.5840097006922101,0.5444354657546394,0.30645396840699113,0.390092282360406,0.30645396840699113,0.9101909481498156,1.0,0.5826382334648408,0.6857142857142857,0.48,0.6857142857142857,0.0,0.0,0.0,0.6297142857142857,True,0.0,0.0,0.23148093412906018,3.0,9,age,0.15492112162099742,0.15,Feature Binning
income,income > 143548.5,numeric,259,247,0.0518,0.0494,0.00011385534017174535,Stable,0.6332908163265306,0.5141022412490557,-0.11918857507747493,0.26658163265306123,0.02820448249811136,-0.23837715015494987,0.25803571428571426,0.13397129186602869,-0.12406442241968557,0.13513513513513514,0.15384615384615385,0.018711018711018712,-3.0102144988541246,-1.7731308055876231,1.2370836932665015,3.4130092148858804,0.18428548485535623,-3.228723730030524,0.18129550356957236,0.22561033836621514,0.04431483479664278,41789567.0,59419242.0,0.04608568594732056,0.05308754079965556,-0.007001854852335003,shap_age,1.3700392115056004,"[{""feature"": ""income"", ""psi"": 0.06624732147020232}, {""feature"": ""age"", ""psi"": 0.033955911501705356}, {""feature"": ""occupation"", ""psi"": 0.03169453094828242}, {""feature"": ""region"", ""psi"": 0.02795196166147923}]",0.03996243139541733,0.01935633001422475,38,-0.4700913462889679,0.05744812256990644,0.12,-0.2979260563257364,0.12288574594721398,0.44,-0.23504567314448396,0.02872406128495322,0.12,-0.025654573022994082,0.06914205993153362,0.6,0.0026019398840831033,0.09792559970329659,0.04,0.018711018711018712,0.04431483479664278,0.8372021111373958,0.5008130599874443,0.8372021111373958,0.017932903777528375,0.07158239005225016,0.4529465152184029,0.36,0.9428571428571428,0.36,0.6428571428571429,0.06666666666666667,0.06666666666666667,0.5255238095238095,True,0.00027134862963273986,0.0,0.04608568594732056,2.1669253028489877,10,income,0.00011385534017174535,0.108346,Feature Binning
age,57.5 < age <= 62.5,numeric,566,421,0.1132,0.0842,0.008582876091103244,Stable,0.5950513538748833,0.5654208823731847,-0.02963047150169862,0.19010270774976656,0.13084176474636933,-0.05926094300339724,0.1599439775910364,0.17822974740174824,0.01828576981071184,0.15901060070671377,0.20665083135391923,0.04764023064720546,-2.6155544313155605,-1.8786521292772058,0.7369023020383547,2.7457913269047336,1.3822195885371975,-1.363571738367536,0.169164899599117,0.19274515873342224,0.023580259134305226,91748104.0,106928585.0,0.08293402980639457,0.116552564767925,-0.03361853496153043,shap_age,1.912388643300552,"[{""feature"": ""income"", ""psi"": 0.07091848732244503}, {""feature"": ""region"", ""psi"": 0.06434570297051534}, {""feature"": ""occupation"", ""psi"": 0.03251455398774762}, {""feature"": ""age"", ""psi"": 0.0016107413282999703}]",0.04234737140225199,0.023803989743417575,87,-0.26579786057092414,0.09325185939729601,0.64,-0.12658968125611259,0.11788354540229268,0.8,-0.13289893028546207,0.046625929698648004,0.64,0.0039031877659619144,0.09792853965402919,0.04,-0.02200218437963661,0.06583290019990898,0.32,0.04764023064720546,0.023580259134305226,0.5184507556528043,0.2339768979851387,0.5184507556528043,0.0635942910939634,0.03309098620267575,0.2735127373174773,0.6857142857142857,0.9599999999999999,0.6857142857142857,0.05454545454545454,0.39999999999999997,0.05454545454545454,0.4428051948051948,True,0.00020691092504408932,0.0,0.08293402980639457,1.9015821213509365,11,age,0.008582876091103244,0.095079,Feature Binning
