Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,region != North AND occupation != Salaried AND age < 49.5,0.3334,-0.5594487209469037,-0.5405506784380436,-0.24776315639882057,0.18652,0.040618,True
2,"age >= 27.5 AND age < 51.5 AND income < 102,246",0.3462,-0.35861750296924155,-0.297282449313806,-0.06405519289711098,0.124153,0.017517,True
3,"age >= 25.5 AND age < 30.5 AND income >= 35,351",0.0938,-0.8248371643117534,-0.3746146887195851,-0.3371726466777527,0.07737,0.004661,True
4,"occupation != SelfEmp AND region != East AND income < 101,115.5",0.2642,-0.2559198575217938,-0.26368908077155473,0.002164243564590995,0.067614,0.006172,True
5,"income >= 35,351 AND income < 53,217.5 AND age < 33.5",0.1818,-0.3508092990282531,-0.03955648926237154,-0.481033817667481,0.063777,0.007992,True
6,occupation = Salaried AND region != North AND age < 52.5,0.2178,-0.2543271916354575,-0.24818857796313976,-0.05267390856681259,0.055392,0.004371,True
7,"age < 31.5 AND income >= 47,615.5",0.0618,-0.62501856930063,-0.4083248014925033,-0.13012687709035758,0.038626,0.001207,True
8,"income >= 44,890 AND income < 53,217.5 AND age >= 27.5",0.0622,-0.3831000134402034,-0.30567451493084397,-0.12569424144986846,0.023829,0.000612,True
9,"age >= 27.5 AND income >= 53,217.5 AND income < 60,422",0.0578,-0.28523571426538563,-0.25600197933798574,-0.004558555136219861,0.016487,0.000316,True
10,"region != North AND occupation != Business AND income >= 50,007.5",0.1748,-0.08632786189215502,-0.13514107167334782,-0.004820497430318482,0.01509,0.000874,True
