Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,BR_PValue,Score_Shift_PValue,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Significant,Tree_Idx
Drift Localization Tree,79569,86410,0.079569,0.08641,27206.0,24460.0,0.0005642377450790944,0.341917078259121,0.28306908922578405,-0.058847989033336934,0.0,0.7276769294310204,0.5960890049937405,-0.13158792443727985,0.4553538588620407,0.19217800998748102,-0.2631758488745597,0.45502948994133513,0.19281696591493291,-0.2622125240264022,0.0,11509218861.0,16188220150.0,0.07342406902399894,0.06297221324643615,-0.010451855777562788,0.0670797823008867,0.08211447678265218,-0.19323154842262064,region,0.19254206656494227,0.953012,"[{""feature"": ""region"", ""psi"": 0.19254206656494227}, {""feature"": ""occupation"", ""psi"": 0.07531848155671741}, {""feature"": ""age"", ""psi"": 0.0002646408922814684}, {""feature"": ""income"", ""psi"": 0.00019394018960561414}]",shap_occupation,31.726901878457934,11.0,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5 AND age < 44.5",0.0,0.0,True,0.0069,0.000716,6e-05,1.0,Population Share: Stable,19.0602,0.022741,"Gini drop 0.2632 (Dev 0.4554 -> Mon 0.1922) | KS drop 0.2622 (Dev 0.4550 -> Mon 0.1928) | Significant bad-rate shift (Dev 34.19% -> Mon 28.31%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,23983,82665,0.023983,0.082665,17288.0,12810.0,0.07261610251464938,0.7208439311178751,0.1549628016693885,-0.5658811294484867,0.0,0.5059236416216734,0.49732775112225047,-0.008595890499422887,0.011847283243346718,-0.005344497755499056,-0.017191780998845774,0.01771041156989317,0.00979544948996891,-0.00791496207992426,0.43791328281295805,4434254824.0,31002566840.0,0.028288716740858602,0.12060005560496224,0.09231133886410364,0.0004015560356661369,0.11749999999999997,-0.7300905342303631,income,0.0014452577401833733,0.492507,"[{""feature"": ""income"", ""psi"": 0.0014452577401833733}, {""feature"": ""age"", ""psi"": 0.00012223727097855142}, {""feature"": ""region"", ""psi"": 3.8729131502622906e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,49.03867320943803,4.0,"income < 32,570.5 AND age < 29.5",0.0,0.8358874425269492,True,0.0109,8.6e-05,6.1e-05,1.0,Population Share: Stable,9.8501,0.001421,"Significant bad-rate shift (Dev 72.08% -> Mon 15.50%, p_adj=0.0000)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,29166,102250,0.029166,0.10225,21053.0,15972.0,0.09167782281750328,0.7218336419118151,0.15620537897310513,-0.5656282629387099,0.0,0.49849190285540024,0.49921660757457936,0.0007247047191791256,-0.0030161942891995253,-0.001566784850841274,0.0014494094383582512,0.007146490861468513,0.008811508075802499,0.0016650172143339859,0.5851212097688645,5395831618.0,38384429357.0,0.03442318005650339,0.14931551760566886,0.11489233754916547,0.00020486083018308773,0.11749999999999997,-0.7293981996217573,income,0.0005063638318652853,0.150029,"[{""feature"": ""income"", ""psi"": 0.0005063638318652853}, {""feature"": ""age"", ""psi"": 0.0002267185490024674}, {""feature"": ""region"", ""psi"": 8.636093986459817e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,49.44695611074991,5.0,"income >= 32,570.5 AND income < 41,854.5 AND age < 29.5",0.0,0.8358874425269492,True,0.0167,0.0,0.0,1.0,Population Share: Stable,3.0006,0.000148,"Significant bad-rate shift (Dev 72.18% -> Mon 15.62%, p_adj=0.0000)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,26247,89077,0.026247,0.089077,18872.0,13807.0,0.07677508503904486,0.7190155065340801,0.15500072970576018,-0.5640147768283199,0.0,0.49679707718725974,0.5002330645431258,0.0034359873558660325,-0.006405845625480522,0.00046612908625154326,0.006871974711732065,0.015658883037196147,0.008784072758267758,-0.006874810278928389,0.983175708165973,4861897852.0,33374671415.0,0.031016902865800857,0.12982754780334002,0.09881064493753916,0.00019718508767757462,0.1175,-0.7278280841202184,income,0.0003823625952974474,0.150006,"[{""feature"": ""income"", ""psi"": 0.0003823625952974474}, {""feature"": ""age"", ""psi"": 0.00020549746525423457}, {""feature"": ""region"", ""psi"": 0.00020088029015861666}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,49.203584528945015,6.0,"income >= 41,854.5 AND income < 49,999.5 AND age < 29.5",0.0,0.9831757081659729,True,0.0125,0.0,0.0,1.0,Population Share: Stable,3.0001,0.000612,"Significant bad-rate shift (Dev 71.90% -> Mon 15.50%, p_adj=0.0000)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,330934,279797,0.330934,0.279797,47050.0,54356.0,0.008583581677117659,0.142173363873159,0.19426941675571932,0.052096052882560334,0.0,0.5774041235893586,0.6178603478363591,0.04045622424700057,0.1548082471787171,0.23572069567271825,0.08091244849400114,0.12574745299793239,0.19300529854707238,0.06725784554914,0.0,54587170007.0,79899908814.0,0.3482436285924003,0.31081082723019504,-0.03743280136220528,0.03362827227522253,0.030733873714828774,0.06781013841409561,age,0.05757401780711606,0.139207,"[{""feature"": ""age"", ""psi"": 0.05757401780711606}, {""feature"": ""region"", ""psi"": 0.04871391829401049}, {""feature"": ""income"", ""psi"": 0.02822515299976359}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,13.61838213635694,14.0,"region != Uttar Pradesh AND occupation != Salaried AND income >= 65,005.5",0.0,0.0,True,0.0877,0.0,0.0,1.0,Population Share: Stable,2.7841,0.022639,"Significant bad-rate shift (Dev 14.22% -> Mon 19.43%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,56567,85549,0.056567,0.085549,30430.0,28838.0,0.011988796568255652,0.5379461523503103,0.33709336169914317,-0.20085279065116712,0.0,0.5006782457274004,0.49618283200113206,-0.004495413726268327,0.0013564914548007678,-0.007634335997735886,-0.008990827452536654,0.004492479910483516,0.00691098392216799,0.0024185040116844747,0.059122449568870694,7918109661.0,17126022748.0,0.050514273584536085,0.06662026748816932,0.016105993903633237,0.00024472089381898977,0.06499999999999996,-0.2967660188611763,age,0.0005508584567761223,0.138448,"[{""feature"": ""age"", ""psi"": 0.0005508584567761223}, {""feature"": ""income"", ""psi"": 0.0003372267226168296}, {""feature"": ""region"", ""psi"": 9.079839588300707e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,49.93104675630198,7.0,"income < 49,999.5 AND age >= 29.5",0.0,0.19707483189623565,True,0.0058,2.6e-05,9e-06,1.0,Population Share: Stable,2.769,0.000769,"Significant bad-rate shift (Dev 53.79% -> Mon 33.71%, p_adj=0.0000)",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,61265,37069,0.061265,0.037069,7378.0,4851.0,0.01215674006286831,0.12042765037133764,0.1308640643124983,0.010436413941160669,1.5379788791403115e-06,0.5025181682080092,0.496410411861402,-0.006107756346607207,0.0050363364160184165,-0.007179176277195998,-0.012215512693214414,0.006538656892343453,0.013189790501497378,0.006651133609153925,0.9799254826134908,9194515028.0,5553640310.0,0.05865721333579804,0.021603673452348236,-0.03705353988344981,0.00022472343638467717,1.6479873021779667e-17,0.034803230901328475,age,0.00040986919736111615,0.00248,"[{""feature"": ""age"", ""psi"": 0.00040986919736111615}, {""feature"": ""region"", ""psi"": 0.0002554952003303167}, {""feature"": ""income"", ""psi"": 0.0002311545348229842}, {""feature"": ""occupation"", ""psi"": 2.374813024291601e-06}]",shap_age,1.605887350100575e-11,12.0,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5 AND age >= 44.5",1.5379788791403115e-06,0.9831757081659729,True,0.0008,5e-06,0.0,1.0,Population Share: Stable,0.0496,0.000453,Segment performance stable,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,275875,165863,0.275875,0.165863,33082.0,21704.0,0.05597253442772602,0.11991662890801993,0.13085498272670817,0.01093835381868824,0.0,0.500106465350216,0.5000292921282878,-7.717322192812848e-05,0.00021293070043193474,5.8584256575677784e-05,-0.00015434644385625695,0.005651391315306453,0.002935530532008901,-0.0027158607832975523,0.26618281274163447,41377654909.0,24852265468.0,0.2639723709125514,0.09667536926274983,-0.16729700164980155,0.00019501966628144242,1.734723475976807e-18,0.03580462690939962,region,0.000546051581775618,0.000605,"[{""feature"": ""region"", ""psi"": 0.000546051581775618}, {""feature"": ""age"", ""psi"": 0.0001632305112735451}, {""feature"": ""income"", ""psi"": 7.07965720766066e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,3.66973213036398e-12,15.0,"occupation = Salaried AND region != Uttar Pradesh AND income >= 65,005.5",0.0,0.6654570318540862,True,0.0169,1e-06,0.0,1.0,Population Share: Stable,0.0121,2.6e-05,Segment performance stable,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,51897,31342,0.051897,0.031342,5717.0,4082.0,0.01036592625197073,0.11016051024143977,0.13024057175674814,0.02008006151530836,0.0,0.49300987617715714,0.49532412937567827,0.0023142531985211323,-0.013980247645685728,-0.009351741248643464,0.004628506397042265,0.013653844653326197,0.01762052897264188,0.003966684319315683,0.8092467451668431,7791860440.0,4694374653.0,0.04970885562968762,0.01826112808994513,-0.03144772753974249,0.0003897358183167616,1.9081958235744878e-17,0.06669379771671513,income,0.0011384471586502016,0.000582,"[{""feature"": ""income"", ""psi"": 0.0011384471586502016}, {""feature"": ""age"", ""psi"": 0.0003357024786763073}, {""feature"": ""occupation"", ""psi"": 8.479363594053756e-05}, {""feature"": ""region"", ""psi"": 0.0}]",shap_age,1.9118790296561446e-11,18.0,"region = Uttar Pradesh AND income >= 105,384.5",0.0,0.9831757081659729,True,0.0006,0.0,0.0,1.0,Population Share: Stable,0.0116,0.000145,Segment performance stable,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,64497,39978,0.064497,0.039978,6999.0,5151.0,0.011727178001707191,0.10851667519419508,0.12884586522587424,0.020329190031679156,0.0,0.5034488412055864,0.5077891203611147,0.004340279155528259,0.006897682411172834,0.015578240722229353,0.008680558311056519,0.011596996675946158,0.02107520091112136,0.009478204235175203,0.5097886892474106,9679432887.0,5993158501.0,0.06175078925786476,0.023313400216185203,-0.03843738904167955,0.00019953903081989144,1.5612511283791264e-17,0.06701295105450389,age,0.0004878699347971186,1.4e-05,"[{""feature"": ""age"", ""psi"": 0.0004878699347971186}, {""feature"": ""income"", ""psi"": 0.00024239309709532804}, {""feature"": ""occupation"", ""psi"": 6.789309138711914e-05}, {""feature"": ""region"", ""psi"": 0.0}]",shap_age,1.3644392177422987e-11,17.0,"region = Uttar Pradesh AND income >= 49,999.5 AND income < 105,384.5",0.0,0.8358874425269492,True,0.0009,0.0,0.0,1.0,Population Share: Stable,0.0003,0.000347,Segment performance stable,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
