Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,36 <= age < 46,0.20635,-0.1516641827778602,-0.15117118873182112,0.004529585455959051,0.031296,0.002159,True
2,"36 <= age < 46 AND income < 60,810",0.091437,-0.24286092715399898,-0.23296614638545343,-0.10855139525020802,0.022206,0.000763,True
3,"91,458.5 <= income < 120,806 AND occupation = Business",0.122929,0.06354150877977394,0.05429438465300446,0.05733932829088206,0.007811,0.0,True
4,age >= 58 AND occupation = Business,0.136177,0.039094367915460726,0.03502954626390098,0.06005444958098691,0.005324,0.0,True
5,"age >= 58 AND 91,458.5 <= income < 120,806",0.073164,0.06262604722939424,0.052428472589636066,0.05696058520058231,0.004582,0.0,True
6,"age >= 58 AND income >= 120,806",0.072502,0.05990025313603997,0.051838245777635406,0.05457019275386624,0.004343,0.0,True
7,"60,810 <= income < 91,458.5 AND occupation = Salaried",0.088629,-0.022605009993489578,-0.027028316349051174,0.01625115091154891,0.002003,5.5e-05,True
8,"36 <= age < 46 AND 60,810 <= income < 91,458.5",0.046681,-0.04193972286984238,-0.047859696367709176,0.018252166734895187,0.001958,2.9e-05,True
9,"age < 36 AND 60,810 <= income < 91,458.5",0.028635,-0.0324789911072354,-0.046195558681156934,0.01690140450910274,0.00093,8e-06,True
10,occupation = SelfEmp,0.274,-0.0023807563732217707,-0.0018454579026581652,-0.5651539833422199,0.000652,0.00013,True
