Overall_Rank,Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,BR_PValue,Score_Shift_PValue,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Significant,Tree_Idx,Discovered_By,Normalized_Root_Cause_Score
1,Feature Binning,120280,304946,0.12028,0.304946,,,0.17179706109575132,0.6345277685400732,0.20642671161451537,-0.42810105692555783,,0.5622403310647834,0.4273505293256164,-0.13488980173916704,0.12448066212956688,-0.1452989413487672,-0.2697796034783341,0.081596627457584,0.0923385306309551,0.010741903173371092,,19707610526.0,99406114088.0,0.1257264261836607,0.38669001016452675,0.26096358398086605,0.11717643485542364,0.12174735679567539,2.293832651960291,income,0.17179706109575132,1.0,"[{""feature"": ""region"", ""psi"": 0.15619642283146407}, {""feature"": ""age"", ""psi"": 0.15617173242000784}, {""feature"": ""occupation"", ""psi"": 0.15613716373690398}, {""feature"": ""income"", ""psi"": 0.0002004204333187019}]",shap_age,50.67164655366391,,29987.5 < income <= 49999.5,,,,0.38669001016452675,0.015906147666615394,0.01076095406157541,1.0,Moderate Drift,19.999999999999996,,,1,,,,,,income,numeric,-1.303724359792395,0.9901082921678959,2.55700675618355,-3.156408447481581,-5.7134152036651304,0.0938375583813996,0.5405085467188503,0.44667098833745067,62949.0,-0.2789970140917517,-0.2630249644847997,0.0,0.005615861276717503,0.016237673471302217,0.0,-0.13949850704587585,-0.13151248224239984,0.0,-0.4313394332767222,-0.42496437157258987,0.0,0.4434694497958425,0.4501491871634176,0.0,0.42810105692555783,0.44667098833745067,1.0,0.29837746406316495,1.0,0.7499903808604567,0.8081775107754263,0.7713090711398095,0.0,0.0,0.0,0.0,0.0,0.0,True,,Feature Binning,1.0
2,K-Means Clustering,154153,182683,0.154153,0.182683,59559.0,54699.0,0.004844587850928692,0.38636289919755046,0.2994203073082881,-0.08694259188926234,,0.7028983178805176,0.5708074855656706,-0.13209083231484697,0.4057966357610352,0.14161497113134125,-0.26418166462969395,0.4056360136098292,0.14495542175500142,-0.2606805918548278,,22126822040.0,34919037066.0,0.14115999776943516,0.13583513370247563,-0.005324864066959534,0.06462792440430921,0.08197849300208282,-0.220289481814001,region,0.1635567816022987,0.954653,"[{""feature"": ""region"", ""psi"": 0.1635567816022987}, {""feature"": ""income"", ""psi"": 0.07496265681316513}, {""feature"": ""age"", ""psi"": 0.019992259201773017}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,37.485422306706326,,"Cluster_5: occupation = Salaried AND age < 43.5 AND income < 82,247.5",0.0,0.0,True,0.0315,0.003278,0.000545,1.0,Population Share: Stable,19.0931,0.048261,"Gini drop 0.2642 (Dev 0.4058 -> Mon 0.1416) | KS drop 0.2607 (Dev 0.4056 -> Mon 0.1450) | Significant bad-rate shift (Dev 38.64% -> Mon 29.94%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,0.0,0.0,5.0,0.9974065778616056,0.8781924451681122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-Means Clustering,0.954653
3,Drift Localization Tree,79569,86410,0.079569,0.08641,27206.0,24460.0,0.0005642377450790944,0.341917078259121,0.28306908922578405,-0.058847989033336934,0.0,0.7276769294310204,0.5960890049937405,-0.13158792443727985,0.4553538588620407,0.19217800998748102,-0.2631758488745597,0.45502948994133513,0.19281696591493291,-0.2622125240264022,0.0,11509218861.0,16188220150.0,0.07342406902399894,0.06297221324643615,-0.010451855777562788,0.0670797823008867,0.08211447678265218,-0.19323154842262064,region,0.19254206656494227,0.953012,"[{""feature"": ""region"", ""psi"": 0.19254206656494227}, {""feature"": ""occupation"", ""psi"": 0.07531848155671741}, {""feature"": ""age"", ""psi"": 0.0002646408922814684}, {""feature"": ""income"", ""psi"": 0.00019394018960561414}]",shap_occupation,31.726901878457934,11.0,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5 AND age < 44.5",0.0,0.0,True,0.0069,0.000716,6e-05,1.0,Population Share: Stable,19.0602,0.022741,"Gini drop 0.2632 (Dev 0.4554 -> Mon 0.1922) | KS drop 0.2622 (Dev 0.4550 -> Mon 0.1928) | Significant bad-rate shift (Dev 34.19% -> Mon 28.31%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drift Localization Tree,0.953012
4,AutoSlicer,73538,91437,0.073538,0.091437,30693.0,28238.0,0.003899260119293292,0.41737605047730425,0.30882465522709623,-0.10855139525020802,0.0,0.6765895703594803,0.5551591067824808,-0.12143046357699949,0.3531791407189606,0.11031821356496163,-0.24286092715399898,0.34859214661261073,0.1156260002271573,-0.23296614638545343,0.0,10520904874.0,17667731744.0,0.06711903344554035,0.06872751671615965,0.0016084832706192986,0.05985638676312522,0.07988183723190444,-0.23831706055472285,region,0.13384921424877477,0.656362,"[{""feature"": ""region"", ""psi"": 0.13384921424877477}, {""feature"": ""occupation"", ""psi"": 0.06113345886646132}, {""feature"": ""income"", ""psi"": 0.03497114164070755}, {""feature"": ""age"", ""psi"": 0.009471732296557244}]",shap_age,39.42772436214112,,"36 <= age < 46 AND income < 60,810",0.0,0.0,True,0.0078,0.000763,0.000158,1.0,Population Share: Stable,13.1272,0.022206,"Gini drop 0.2429 (Dev 0.3532 -> Mon 0.1103) | KS drop 0.2330 (Dev 0.3486 -> Mon 0.1156) | Significant bad-rate shift (Dev 41.74% -> Mon 30.88%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.656362
5,Gradient Boosting,140834,123479,0.140834,0.123479,34584.0,29311.0,0.002282369772981103,0.2455657014641351,0.23737639598636207,-0.008189305477773023,,0.7354665825747371,0.6409215816817182,-0.09454500089301887,0.47093316514947414,0.2818431633634364,-0.18909000178603774,0.4696786164292226,0.2826178392362958,-0.1870607771929268,,20703733889.0,21741860460.0,0.13208128235979696,0.0845758866987844,-0.04750539566101257,0.08432967335820382,0.06920270795364909,-0.11413884698423699,region,0.20006724487805616,0.638344,"[{""feature"": ""region"", ""psi"": 0.20006724487805616}, {""feature"": ""age"", ""psi"": 0.07896404826349862}, {""feature"": ""occupation"", ""psi"": 0.058184783997698185}, {""feature"": ""income"", ""psi"": 0.00010261629356232909}]",shap_occupation,20.47003219172004,8.0,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5",9.280656183552338e-07,0.0,True,0.0124,0.000987,0.0,1.0,Population Share: Stable,12.7669,0.023349,"Gini drop 0.1891 (Dev 0.4709 -> Mon 0.2818) | KS drop 0.1871 (Dev 0.4697 -> Mon 0.2826) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,9.280656183552338e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Gradient Boosting,0.638344
6,AutoSlicer,252655,206350,0.252655,0.20635,54496.0,45443.0,0.009374501221586075,0.2156933367635709,0.22022292221952994,0.004529585455959051,0.0002164914350422098,0.7234825760422992,0.647650484653369,-0.0758320913889301,0.4469651520845983,0.2953009693067381,-0.1516641827778602,0.44687602481991767,0.29570483608809656,-0.15117118873182112,0.0,37303664562.0,35462298493.0,0.23798199293348124,0.13794842189059106,-0.10003357104289018,0.08871375239840015,0.06055452549173715,-0.07947964586663181,region,0.18091803957795147,0.621039,"[{""feature"": ""region"", ""psi"": 0.18091803957795147}, {""feature"": ""income"", ""psi"": 0.12398090964352428}, {""feature"": ""occupation"", ""psi"": 0.044067820422028496}, {""feature"": ""age"", ""psi"": 0.005888239950096335}]",shap_age,16.946407192281924,,36 <= age < 46,0.0002164914350422098,0.0,True,0.033,0.002159,0.0,1.0,Population Share: Stable,12.4208,0.031296,"Gini drop 0.1517 (Dev 0.4470 -> Mon 0.2953) | KS drop 0.1512 (Dev 0.4469 -> Mon 0.2957) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.621039
7,Gradient Boosting,53149,184915,0.053149,0.184915,38341.0,28782.0,0.16428544956213254,0.7213870439707238,0.1556498931941703,-0.5657371507765535,,0.5018315852719809,0.498379988742255,-0.003451596529725931,0.0036631705439618134,-0.0032400225154900486,-0.006903193059451862,0.0076482025841325685,0.007765487703870477,0.00011728511973790878,,9830086442.0,69386996197.0,0.06271189679736199,0.2699155732106311,0.2072036764132691,8.703547097934153e-05,0.1175,-0.7297041260865347,income,0.0002173867393014084,0.511137,"[{""feature"": ""income"", ""psi"": 0.0002173867393014084}, {""feature"": ""age"", ""psi"": 0.00010598814987576703}, {""feature"": ""region"", ""psi"": 2.4766994740190687e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,50.63952722084607,3.0,"income < 41,854.5 AND age < 29.5",0.0,0.5097296030268657,True,0.0585,0.000172,0.000123,1.0,Population Share: Moderate Drift,10.2227,0.001277,"Population shift (Dev 5.3% -> Mon 18.5%, PSI 0.1643) | Significant bad-rate shift (Dev 72.14% -> Mon 15.56%, p_adj=0.0000)",2,0.0,0.31150142407197345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Gradient Boosting,0.511137
8,Drift Localization Tree,23983,82665,0.023983,0.082665,17288.0,12810.0,0.07261610251464938,0.7208439311178751,0.1549628016693885,-0.5658811294484867,0.0,0.5059236416216734,0.49732775112225047,-0.008595890499422887,0.011847283243346718,-0.005344497755499056,-0.017191780998845774,0.01771041156989317,0.00979544948996891,-0.00791496207992426,0.43791328281295805,4434254824.0,31002566840.0,0.028288716740858602,0.12060005560496224,0.09231133886410364,0.0004015560356661369,0.11749999999999997,-0.7300905342303631,income,0.0014452577401833733,0.492507,"[{""feature"": ""income"", ""psi"": 0.0014452577401833733}, {""feature"": ""age"", ""psi"": 0.00012223727097855142}, {""feature"": ""region"", ""psi"": 3.8729131502622906e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,49.03867320943803,4.0,"income < 32,570.5 AND age < 29.5",0.0,0.8358874425269492,True,0.0109,8.6e-05,6.1e-05,1.0,Population Share: Stable,9.8501,0.001421,"Significant bad-rate shift (Dev 72.08% -> Mon 15.50%, p_adj=0.0000)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drift Localization Tree,0.492507
9,AutoSlicer,79400,274000,0.0794,0.274,57215.0,42590.0,0.2410373470410672,0.7205919395465995,0.15543795620437956,-0.5651539833422199,0.0,0.5001672709592465,0.4989768927726356,-0.0011903781866108853,0.0003345419184930254,-0.0020462144547287453,-0.0023807563732217707,0.006148801821045546,0.004303343918387381,-0.0018454579026581652,0.5386828997054317,14692709422.0,102764829928.0,0.09373342568070289,0.3997554224304122,0.3060219967497093,8.461987448387607e-05,0.1175,-0.7290654978041706,income,0.00026842850786024434,0.346628,"[{""feature"": ""income"", ""psi"": 0.00026842850786024434}, {""feature"": ""age"", ""psi"": 4.2617604049611554e-05}, {""feature"": ""region"", ""psi"": 2.743338602564837e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,51.4341581464781,,occupation = SelfEmp,0.0,0.6105072863328226,True,0.1362,0.00013,9.3e-05,1.0,Population Share: Moderate Drift,6.9326,0.000652,"Population shift (Dev 7.9% -> Mon 27.4%, PSI 0.2410) | Significant bad-rate shift (Dev 72.06% -> Mon 15.54%, p_adj=0.0000)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AutoSlicer, Feature Binning, K-Means Clustering",0.346628
10,Feature Binning,311306,260258,0.311306,0.260258,,,0.009142845072898411,0.2232080332534548,0.22525724473407158,0.002049211480616764,,0.7280159197629035,0.6464502364209026,-0.08156568334200087,0.45603183952580695,0.2929004728418052,-0.16313136668400174,0.4577300389249736,0.29240533770971106,-0.16532470121526255,,45934522224.0,45035753473.0,0.29304330477093266,0.17518918356294305,-0.1178541212079896,0.09295567650720674,0.06352781052171241,0.7264562847775409,age,0.009142845072898411,0.318747,"[{""feature"": ""region"", ""psi"": 0.18998707839803755}, {""feature"": ""income"", ""psi"": 0.13160951072364938}, {""feature"": ""occupation"", ""psi"": 0.05011601022907573}, {""feature"": ""age"", ""psi"": 0.00011010667806426403}]",shap_age,18.242674473296226,,29.5 < age <= 41.5,,,,0.17518918356294305,0.0037189372943456874,0.0,0.9823999999999999,Stable,6.374930683295553,,,2,,,,,,age,numeric,-3.294713094691948,-2.568256809914407,4.650668118484429,2.6413042703279075,-2.0093638481565215,0.17157316057220479,0.2475485276518299,0.07597536707962513,58625.0,-0.1708470557844967,-0.15684220897222126,0.0,-0.17122024397754135,-0.16113350135389853,0.0,-0.08542352789224834,-0.07842110448611063,0.0,-0.0002307016222944414,0.00457222908753311,0.08,0.07362453301651593,0.0780619295103466,0.0,0.002049211480616764,0.07597536707962513,0.7159482364572765,0.9837736594727037,0.7159482364572765,0.002549149548433475,0.12643583213847404,0.5089310228148328,0.0,0.0,0.0,0.088,0.0,0.0,True,,Feature Binning,0.318747
