Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5 AND age < 44.5",0.08641,-0.2631758488745597,-0.2622125240264022,-0.058847989033336934,0.022741,0.000716,True
2,"region != Uttar Pradesh AND occupation != Salaried AND income >= 65,005.5",0.279797,0.08091244849400114,0.06725784554914,0.052096052882560334,0.022639,0.0,True
3,"income < 32,570.5 AND age < 29.5",0.082665,-0.017191780998845774,-0.00791496207992426,-0.5658811294484867,0.001421,8.6e-05,True
4,"income < 49,999.5 AND age >= 29.5",0.085549,-0.008990827452536654,0.0024185040116844747,-0.20085279065116712,0.000769,2.6e-05,True
5,"income >= 41,854.5 AND income < 49,999.5 AND age < 29.5",0.089077,0.006871974711732065,-0.006874810278928389,-0.5640147768283199,0.000612,0.0,True
6,"region != Uttar Pradesh AND income >= 49,999.5 AND income < 65,005.5 AND age >= 44.5",0.037069,-0.012215512693214414,0.006651133609153925,0.010436413941160669,0.000453,5e-06,True
7,"region = Uttar Pradesh AND income >= 49,999.5 AND income < 105,384.5",0.039978,0.008680558311056519,0.009478204235175203,0.020329190031679156,0.000347,0.0,True
8,"income >= 32,570.5 AND income < 41,854.5 AND age < 29.5",0.10225,0.0014494094383582512,0.0016650172143339859,-0.5656282629387099,0.000148,0.0,True
9,"region = Uttar Pradesh AND income >= 105,384.5",0.031342,0.004628506397042265,0.003966684319315683,0.02008006151530836,0.000145,0.0,True
10,"occupation = Salaried AND region != Uttar Pradesh AND income >= 65,005.5",0.165863,-0.00015434644385625695,-0.0027158607832975523,0.01093835381868824,2.6e-05,1e-06,True
