Feature,Segment_Definition,Bin_Type,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,PSI,PSI_Interpretation,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,Dev_BR,Mon_BR,Delta_BR,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Calibration_Drift,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Dev_EAD,Mon_EAD,Mon_Exposure_Pct,Dev_Exposure_Pct,Exposure_Drift,Top_SHAP_Feature,Top_SHAP_PSI,feature_drift_details,mean_feature_psi,mean_shap_shift,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Confidence_Score,Significant,SIS_Raw,DIS_Raw,Business_Impact_Score,Severity_Score,Rank,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,Technique
income,29987.5 < income <= 49999.5,numeric,120280,304946,0.12028,0.304946,0.17179706109575132,Moderate Drift,0.5622403310647834,0.4273505293256164,-0.13488980173916704,0.12448066212956688,-0.1452989413487672,-0.2697796034783341,0.081596627457584,0.0923385306309551,0.010741903173371092,0.6345277685400732,0.20642671161451537,-0.42810105692555783,-1.303724359792395,0.9901082921678959,2.293832651960291,2.55700675618355,-3.156408447481581,-5.7134152036651304,0.0938375583813996,0.5405085467188503,0.44667098833745067,19707610526.0,99406114088.0,0.38669001016452675,0.1257264261836607,0.26096358398086605,shap_age,50.67164655366391,"[{""feature"": ""region"", ""psi"": 0.15619642283146407}, {""feature"": ""age"", ""psi"": 0.15617173242000784}, {""feature"": ""occupation"", ""psi"": 0.15613716373690398}, {""feature"": ""income"", ""psi"": 0.0002004204333187019}]",0.11717643485542364,0.12174735679567539,62949,-0.2789970140917517,-0.2630249644847997,0.0,0.005615861276717503,0.016237673471302217,0.0,-0.13949850704587585,-0.13151248224239984,0.0,-0.4313394332767222,-0.42496437157258987,0.0,0.4434694497958425,0.4501491871634176,0.0,0.42810105692555783,0.44667098833745067,1.0,0.29837746406316495,1.0,0.7499903808604567,0.8081775107754263,0.7713090711398095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.015906147666615394,0.01076095406157541,0.38669001016452675,19.999999999999996,1,income,0.17179706109575132,1.0,Feature Binning
age,29.5 < age <= 41.5,numeric,311306,260258,0.311306,0.260258,0.009142845072898411,Stable,0.7280159197629035,0.6464502364209026,-0.08156568334200087,0.45603183952580695,0.2929004728418052,-0.16313136668400174,0.4577300389249736,0.29240533770971106,-0.16532470121526255,0.2232080332534548,0.22525724473407158,0.002049211480616764,-3.294713094691948,-2.568256809914407,0.7264562847775409,4.650668118484429,2.6413042703279075,-2.0093638481565215,0.17157316057220479,0.2475485276518299,0.07597536707962513,45934522224.0,45035753473.0,0.17518918356294305,0.29304330477093266,-0.1178541212079896,shap_age,18.242674473296226,"[{""feature"": ""region"", ""psi"": 0.18998707839803755}, {""feature"": ""income"", ""psi"": 0.13160951072364938}, {""feature"": ""occupation"", ""psi"": 0.05011601022907573}, {""feature"": ""age"", ""psi"": 0.00011010667806426403}]",0.09295567650720674,0.06352781052171241,58625,-0.1708470557844967,-0.15684220897222126,0.0,-0.17122024397754135,-0.16113350135389853,0.0,-0.08542352789224834,-0.07842110448611063,0.0,-0.0002307016222944414,0.00457222908753311,0.08,0.07362453301651593,0.0780619295103466,0.0,0.002049211480616764,0.07597536707962513,0.7159482364572765,0.9837736594727037,0.7159482364572765,0.002549149548433475,0.12643583213847404,0.5089310228148328,0.0,0.0,0.0,0.088,0.0,0.0,0.9823999999999999,True,0.0037189372943456874,0.0,0.17518918356294305,6.374930683295553,2,age,0.009142845072898411,0.318747,Feature Binning
age,41.5 < age <= 44.5,numeric,77838,64573,0.077838,0.064573,0.002478344746607371,Stable,0.730951472563107,0.6487145048629741,-0.08223696770013289,0.461902945126214,0.2974290097259482,-0.16447393540026578,0.46049396611764365,0.2976968802744357,-0.16279708584320796,0.22544258588350163,0.22603874684465644,0.0005961609611548069,-3.320883967964394,-2.589856649272462,0.7310273186919316,4.7157487674,2.6899197821974195,-2.0258289852025806,0.17139822594598497,0.24677685072258732,0.07537862477660234,11454031844.0,11189317606.0,0.04352647096704664,0.07307199861901538,-0.029545527651968738,shap_age,17.36103810102056,"[{""feature"": ""region"", ""psi"": 0.18651960982547697}, {""feature"": ""income"", ""psi"": 0.13112695508005026}, {""feature"": ""occupation"", ""psi"": 0.04569535704203359}, {""feature"": ""age"", ""psi"": 3.706565747091325e-05}]",0.09084474690125793,0.06334227608547871,14596,-0.1783664598380563,-0.15237706528881206,0.0,-0.17344706863786727,-0.15308715558810743,0.0,-0.08918322991902815,-0.07618853264440603,0.0,-0.0026072860522646213,0.00518086949481425,0.68,0.07093907564584084,0.0790259031824767,0.0,0.0005961609611548069,0.07537862477660234,0.7195240950274235,0.9739340992365052,0.7195240950274235,0.0,0.12533837083586674,0.5076641320254438,0.0,0.0,0.0,0.68,0.0,0.0,0.8640000000000001,True,0.00023113808406669955,0.0,0.04352647096704664,4.763357941466722,3,age,0.002478344746607371,0.238168,Feature Binning
income,49999.5 < income <= 65001.5,numeric,158224,134280,0.158224,0.13428,0.003928841145587932,Stable,0.7307841885882049,0.64474787059784,-0.08603631799036493,0.46156837717640986,0.28949574119568,-0.17207263598072986,0.4597637777669408,0.2902708061448259,-0.16949297162211485,0.2304264839720902,0.2286937742031576,-0.001732709768932611,-3.2802627761910967,-2.557971305797052,0.7222914703940448,4.649956390781213,2.628445025510448,-2.021511365270765,0.17063044930878327,0.25069296799791785,0.08006251868913458,23313046788.0,23344197704.0,0.09080898222669978,0.14872762236907372,-0.05791864014237394,shap_age,11.33391846180545,"[{""feature"": ""region"", ""psi"": 0.19127244380324734}, {""feature"": ""age"", ""psi"": 0.07035188884772287}, {""feature"": ""occupation"", ""psi"": 0.05249695520884244}, {""feature"": ""income"", ""psi"": 7.670456158822834e-05}]",0.07854949810535021,0.06508624268722257,30709,-0.18101826075185753,-0.1629337621297956,0.0,-0.17638162299683957,-0.16348185170003265,0.0,-0.09050913037592877,-0.0814668810648978,0.0,-0.0040970067966673036,0.0014041054355415266,0.2,0.07784957632449127,0.08421415923756477,0.0,0.001732709768932611,0.08006251868913458,0.7397628196926648,1.0,0.7397628196926648,0.001993896868219142,0.13395246152205317,0.5230943995551203,0.0,0.0,0.0,0.20952380952380953,0.0,0.0,0.9580952380952381,True,0.0010491122468778036,0.0,0.09080898222669978,4.746440798585907,4,income,0.003928841145587932,0.237322,Feature Binning
occupation,occupation = SelfEmp,categorical,79400,274000,0.0794,0.274,0.2410373470410672,Moderate Drift,0.5001672709592465,0.4989768927726356,-0.0011903781866108853,0.0003345419184930254,-0.0020462144547287453,-0.0023807563732217707,0.006148801821045546,0.004303343918387381,-0.0018454579026581652,0.7205919395465995,0.15543795620437956,-0.5651539833422199,0.9476482712923276,-1.6567279828643466,-2.604376254156674,0.00016828342214184056,-0.04623299583296442,-0.04640127925510626,0.07261271550078566,0.6195110094664595,0.5468982939656739,14692709422.0,102764829928.0,0.3997554224304122,0.09373342568070289,0.3060219967497093,shap_age,51.4341581464781,"[{""feature"": ""income"", ""psi"": 0.00026842850786024434}, {""feature"": ""age"", ""psi"": 4.2617604049611554e-05}, {""feature"": ""region"", ""psi"": 2.743338602564837e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",8.461987448387607e-05,0.1175,42590,-0.012425513658251997,0.005447003131053939,0.8,-0.007879093416896486,0.0010940082651214606,0.16,-0.006212756829125999,0.0027235015655269696,0.8,-0.5675022348268952,-0.562471161448087,0.0,0.5430527385785239,0.5505907683582842,0.0,0.5651539833422199,0.5468982939656739,0.2877977510685412,0.34737783765311264,0.2877977510685412,0.9904282739736888,0.9925042944379711,0.581181181640371,0.9599999999999999,0.44,0.9599999999999999,0.0,0.0,0.0,0.5280000000000001,True,0.00013038567694631962,9.261021824193942e-05,0.3997554224304122,3.0058332118736892,5,occupation,0.2410373470410672,0.150292,Feature Binning
region,"region IN (Goa, Gujarat)",categorical,27892,95799,0.027892,0.095799,0.08379128507885922,Stable,0.49873707238380116,0.49373288058409137,-0.0050041917997097896,-0.002525855232397678,-0.012534238831817257,-0.010008383599419579,0.012495813468504313,0.013948987098822085,0.0014531736303177722,0.7177326832066543,0.15682835937744652,-0.5609043238292077,0.9824763776740941,-1.4504838190908842,-2.432960196764978,-0.06333091239875681,-0.2989955520821441,-0.2356646396833873,0.07482418017244039,0.6181229677539553,0.5432987875815148,5158367933.0,35929739475.0,0.1397667683750023,0.0329082596949474,0.10685850868005489,shap_age,49.337123824144214,"[{""feature"": ""income"", ""psi"": 0.0004341093888095136}, {""feature"": ""age"", ""psi"": 0.00012403577698375998}, {""feature"": ""region"", ""psi"": 1.6133377242562662e-07}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.0001395766248914248,0.11750000000000002,15024,-0.02267860629444653,0.0061049447108647206,0.24,-0.01127971520400858,0.00900748239317057,0.96,-0.011339303147223265,0.0030524723554323603,0.24,-0.5686749197717673,-0.5550453822018393,0.0,0.5392304440719355,0.5481198213704395,0.0,0.5609043238292077,0.5432987875815148,0.3081135202774244,0.3345368476731548,0.3081135202774244,0.9829729119725092,0.9858844872865552,0.5839242574974136,0.5279999999999999,0.9599999999999999,0.5279999999999999,0.0,0.0,0.0,0.5968000000000001,True,6.70037093897649e-05,4.75021239270793e-05,0.1397667683750023,2.9546657006487598,6,region,0.08379128507885922,0.147733,Feature Binning
income,income <= 29987.5,numeric,15683,54595,0.015683,0.054595,0.048537466113968336,Stable,0.5074703431326979,0.4962837017877997,-0.011186641344898218,0.014940686265395797,-0.007432596424400639,-0.022373282689796437,0.019228260187565294,0.013168394737483269,-0.006059865450082025,0.7219282025122744,0.1552889458741643,-0.5666392566381101,0.5958053345782247,-1.5573292129836653,-2.15313454756189,0.4620872546401117,-0.17604926993046013,-0.6381365245705718,0.06874705412058063,0.619721122411271,0.5509740682906903,2902483429.0,20481576272.0,0.07967337833761365,0.018516647064038234,0.06115673127357542,shap_age,48.19905129078781,"[{""feature"": ""income"", ""psi"": 0.0006538082754942504}, {""feature"": ""region"", ""psi"": 0.0001937403980118807}, {""feature"": ""age"", ""psi"": 0.00011497676106514521}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.00024063135864281908,0.11749999999999994,8478,-0.039449305117128325,0.00023538591587579216,0.08,-0.01779130909845748,0.008628929360874803,0.44,-0.019724652558564162,0.00011769295793789608,0.08,-0.5754004725410827,-0.5588272522742681,0.0,0.5447924944433787,0.5556878493880518,0.0,0.5666392566381101,0.5509740682906903,0.34104675478952107,0.3637837819202813,0.34104675478952107,0.9930339533363863,1.0,0.607782248967142,0.22,0.6599999999999999,0.22,0.0,0.0,0.0,0.78,True,4.8659295560138975e-05,3.4689735829141216e-05,0.07967337833761365,2.942899723886425,7,income,0.048537466113968336,0.147145,Feature Binning
age,25.5 < age <= 27.5,numeric,17499,60680,0.017499,0.06068,0.05369429612141638,Stable,0.49880824581920846,0.49546913423824923,-0.003339111580959231,-0.0023835083615830754,-0.009061731523501537,-0.006678223161918462,0.013836424518252621,0.011798274278952636,-0.002038150239299985,0.7270701182924738,0.1564601186552406,-0.5706099996372332,1.0323829962257893,-1.5188090044459508,-2.5511920006717403,-0.06739558971176896,-0.2143520382825629,-0.14695644857079396,0.0710116566509713,0.6183527449086641,0.5473410882576928,3236658496.0,22742572786.0,0.08846865992569218,0.0206485461513561,0.06782011377433608,shap_region,48.41428955605087,"[{""feature"": ""income"", ""psi"": 0.000721461833430912}, {""feature"": ""region"", ""psi"": 0.00043349670204239146}, {""feature"": ""age"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.00028873963386832587,0.11749999999999995,9494,-0.033196337143449405,0.014722407932951634,0.48,-0.01725856300168897,0.008352050717843435,0.48,-0.016598168571724702,0.007361203966475817,0.48,-0.5778933701334398,-0.5622074895710211,0.0,0.54093365294236,0.553074114673549,0.0,0.5706099996372332,0.5473410882576928,0.29924381953425494,0.34812795488787995,0.29924381953425494,1.0,0.9933186318798527,0.5879868451672485,0.8799999999999999,0.6599999999999999,0.8799999999999999,0.0,0.0,0.0,0.516,True,1.792528018888803e-05,1.2759641025299427e-05,0.08846865992569218,2.9187894928912366,8,age,0.05369429612141638,0.145939,Feature Binning
age,age <= 25.5,numeric,44092,152092,0.044092,0.152092,0.13372638200696538,Moderate Drift,0.5015156053417225,0.5010302641140463,-0.0004853412276761837,0.003031210683444918,0.0020605282280925508,-0.0009706824553523674,0.00782222067048799,0.004180945823047316,-0.003641274847440673,0.7201306359430282,0.1552349893485522,-0.564895646594476,0.8933474213801899,-1.7347582589777713,-2.628105680357961,0.06713586523763508,0.05246742417955487,-0.014668441058080212,0.07188428540540634,0.6198174418818545,0.5479331564764481,8153055075.0,57062458877.0,0.22197309497106374,0.052013128415845565,0.16995996655521817,shap_age,50.2572956312837,"[{""feature"": ""income"", ""psi"": 0.00030777923071585305}, {""feature"": ""age"", ""psi"": 4.201151092943757e-05}, {""feature"": ""region"", ""psi"": 2.821400592320468e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",9.450118689212383e-05,0.11749999999999997,23610,-0.013881635454465089,0.006988352958001973,0.68,-0.010277448086212617,0.000558397845763668,0.16,-0.006940817727232544,0.0034941764790009863,0.68,-0.5681472102581694,-0.5604690222757952,0.0,0.5441949620444267,0.552064851850202,0.0,0.564895646594476,0.5479331564764481,0.28404209607474307,0.35436863585632583,0.28404209607474307,0.9899750626124632,0.9944074971325692,0.5813670775501689,0.88,0.44,0.88,0.0,0.0,0.0,0.5599999999999999,True,1.6385280960386446e-05,1.1636230531517466e-05,0.22197309497106374,2.9108524112635696,9,age,0.13372638200696538,0.145543,Feature Binning
age,27.5 < age <= 29.5,numeric,17809,61228,0.017809,0.061228,0.05361815148454568,Stable,0.49822217913980166,0.4973778006062989,-0.0008443785335027765,-0.003555641720396685,-0.005244398787402238,-0.001688757067005553,0.013262007839692919,0.013707014349965019,0.00044500651027210014,0.715368633836824,0.15492911739726922,-0.5604395164395548,0.9874402335834924,-1.600915143254802,-2.5883553768382948,-0.08482967583598888,-0.12333563549294309,-0.038505959656954206,0.07769918553482388,0.6198977210109288,0.5421985354761049,3302995851.0,22959798265.0,0.08931366753365624,0.02107175111350123,0.06824191642015501,shap_age,48.44084021398445,"[{""feature"": ""income"", ""psi"": 0.0008566989680012793}, {""feature"": ""region"", ""psi"": 4.3076148139424405e-05}, {""feature"": ""age"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",0.00022494377903517593,0.11749999999999992,9486,-0.024547562289260173,0.018171337435802633,0.96,-0.014483278515396379,0.006185708295183943,0.6,-0.012273781144630087,0.009085668717901316,0.96,-0.5672852213362874,-0.5569030408358933,0.0,0.5365790287231451,0.5501776209623157,0.0,0.5604395164395548,0.5421985354761049,0.28595464864875975,0.3384614642170796,0.28595464864875975,0.9821574802090761,0.9838610274066654,0.5752778538260681,0.9599999999999999,0.7333333333333333,0.9599999999999999,0.0,0.0,0.0,0.46933333333333344,True,4.617481676387166e-06,3.2751606304928717e-06,0.08931366753365624,2.9054661628038585,10,age,0.05361815148454568,0.145273,Feature Binning
