Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,BR_PValue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,Score_Shift_PValue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Cluster_ID,Segment_Definition,Rule_Precision,Rule_Recall,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Technique
154153,182683,0.154153,0.182683,59559,54699,0.004844587850928692,0.38636289919755046,0.2994203073082881,-0.08694259188926234,0.0,0.7028983178805176,0.5708074855656706,-0.13209083231484697,0.4057966357610352,0.14161497113134125,-0.26418166462969395,0.4056360136098292,0.14495542175500142,-0.2606805918548278,0.0,22126822040.0,34919037066.0,0.14115999776943516,0.13583513370247563,-0.005324864066959534,0.06462792440430921,0.08197849300208282,-0.220289481814001,region,0.1635567816022987,0.954653,"[{""feature"": ""region"", ""psi"": 0.1635567816022987}, {""feature"": ""income"", ""psi"": 0.07496265681316513}, {""feature"": ""age"", ""psi"": 0.019992259201773017}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,37.485422306706326,5,"Cluster_5: occupation = Salaried AND age < 43.5 AND income < 82,247.5",0.9974065778616056,0.8781924451681122,0.0,0.0,True,0.0315,0.003278,0.000545,1.0,Population Share: Stable,19.0931,0.048261,"Gini drop 0.2642 (Dev 0.4058 -> Mon 0.1416) | KS drop 0.2607 (Dev 0.4056 -> Mon 0.1450) | Significant bad-rate shift (Dev 38.64% -> Mon 29.94%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,K-Means Clustering
79400,274000,0.0794,0.274,57215,42590,0.2410373470410672,0.7205919395465995,0.15543795620437956,-0.5651539833422199,0.0,0.5001672709592465,0.4989768927726356,-0.0011903781866108853,0.0003345419184930254,-0.0020462144547287453,-0.0023807563732217707,0.006148801821045546,0.004303343918387381,-0.0018454579026581652,0.5386828997054317,14692709422.0,102764829928.0,0.09373342568070289,0.3997554224304122,0.3060219967497093,8.461987448387607e-05,0.1175,-0.7290654978041706,income,0.00026842850786024434,0.214902,"[{""feature"": ""income"", ""psi"": 0.00026842850786024434}, {""feature"": ""age"", ""psi"": 4.2617604049611554e-05}, {""feature"": ""region"", ""psi"": 2.743338602564837e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,51.4341581464781,3,"Cluster_3: occupation != Business AND occupation != Salaried AND age < 49.5 AND income < 102,603.5",1.0,1.0,0.0,0.6733536246317896,True,0.1362,0.00013,9.3e-05,1.0,Population Share: Moderate Drift,4.298,0.000652,"Population shift (Dev 7.9% -> Mon 27.4%, PSI 0.2410) | Significant bad-rate shift (Dev 72.06% -> Mon 15.54%, p_adj=0.0000)",2,K-Means Clustering
110639,111108,0.110639,0.111108,17494,24660,1.983894510287438e-06,0.15811784271369048,0.22194621449400584,0.06382837178031536,0.0,0.6056266733611597,0.6100554966571844,0.004428823296024675,0.21125334672231944,0.22011099331436879,0.00885764659204935,0.1709398164982378,0.18090498294855561,0.009965166450317808,0.0,19315440307.0,37688303468.0,0.12322454194835554,0.14660758631227877,0.02338304436392323,0.03513442669741947,0.04437262083683971,0.07164177112985254,region,0.13863654657248728,0.165255,"[{""feature"": ""region"", ""psi"": 0.13863654657248728}, {""feature"": ""age"", ""psi"": 0.0011447479864081836}, {""feature"": ""income"", ""psi"": 0.0007564122307824337}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,19.474303479438394,4,"Cluster_4: occupation != Salaried AND region != West Bengal AND age >= 49.5 AND income >= 99,398.5",0.9906300873168566,0.9680040492050723,0.0,0.0,True,0.0163,0.0,0.0,1.0,Population Share: Stable,3.3051,0.000984,"Significant bad-rate shift (Dev 15.81% -> Mon 22.19%, p_adj=0.0000)",3,K-Means Clustering
44657,54678,0.044657,0.054678,8173,13321,0.0020287551055748797,0.18301722014465818,0.2436263213723984,0.060609101227740214,0.0,0.6140234135911882,0.593997913263085,-0.02002550032810313,0.22804682718237634,0.18799582652617008,-0.04005100065620626,0.18490484249489508,0.1529373546900059,-0.03196748780488917,0.0,8457982566.0,21487476511.0,0.05395844003228949,0.08358633255790507,0.02962789252561558,0.006611736133062603,0.0597136214066214,0.054702510030135876,age,0.021305246438707803,0.115523,"[{""feature"": ""age"", ""psi"": 0.021305246438707803}, {""feature"": ""income"", ""psi"": 0.0051416980935426095}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,26.264355396829572,9,"Cluster_9: occupation != Salaried AND region = West Bengal AND age >= 49.5 AND income >= 99,398.5",1.0,0.7186779228340462,0.0,0.0,True,0.0048,9.2e-05,1.7e-05,1.0,Population Share: Stable,2.3105,0.00219,"Significant bad-rate shift (Dev 18.30% -> Mon 24.36%, p_adj=0.0000)",4,K-Means Clustering
97584,66572,0.097584,0.066572,12252,10375,0.011859902935440187,0.12555336940482045,0.15584630174848285,0.0302929323436624,0.0,0.5334608194860537,0.5739875682597644,0.04052674877371065,0.06692163897210746,0.14797513651952876,0.0810534975474213,0.05247218297163955,0.12392114744366362,0.07144896447202406,1.8311272050499018e-227,15110601947.0,13587832869.0,0.09639940761838127,0.0528567008018854,-0.04354270681649587,0.01471812927941132,0.011817661811757443,0.05801847037681246,income,0.03568815017929256,0.060431,"[{""feature"": ""income"", ""psi"": 0.03568815017929256}, {""feature"": ""region"", ""psi"": 0.022838415638966124}, {""feature"": ""age"", ""psi"": 0.00034595129938659814}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,1.0474166838307553,2,"Cluster_2: occupation != Salaried AND region != West Bengal AND age >= 49.5 AND income < 99,398.5",0.9895803765729965,0.857425397606165,0.0,4.577818012624755e-227,True,0.0036,0.0,0.0,1.0,Population Share: Stable,1.2086,0.005396,"Significant bad-rate shift (Dev 12.56% -> Mon 15.58%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",5,K-Means Clustering
106837,64899,0.106837,0.064899,12551,8436,0.020904922644859113,0.11747802727519492,0.12998659455461564,0.012508567279420721,1.6653345369377348e-14,0.5000546509185737,0.4943081744044554,-0.005746476514118304,0.00010930183714741304,-0.011383651191089195,-0.011492953028236608,0.006244879587167129,0.011597739619210512,0.005352860032043383,0.8602800702651061,16012937691.0,9724024976.0,0.10215593747070531,0.03782647929966181,-0.06432945817104349,0.00034948144978085076,6.938893903907228e-18,0.041873807909738714,region,0.0009102173017636558,0.002327,"[{""feature"": ""region"", ""psi"": 0.0009102173017636558}, {""feature"": ""age"", ""psi"": 0.0002911881192529538}, {""feature"": ""income"", ""psi"": 0.0001965203781067934}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,9.045032466438543e-12,7,"Cluster_7: occupation = Salaried AND age >= 50.5 AND income < 100,986.5",0.9993705026210968,0.861864335389425,2.0816681711721685e-14,0.9188494727816006,True,0.0025,1.4e-05,0.0,1.0,Population Share: Stable,0.0465,0.000746,Segment performance stable,6,K-Means Clustering
99011,59745,0.099011,0.059745,11799,7688,0.019835041230731706,0.11916857722879276,0.12868022428655118,0.009511647057758421,2.2040079761254106e-08,0.49989229596661383,0.49626064007681325,-0.003631655889800578,-0.00021540806677233792,-0.007478719846373494,-0.007263311779601156,0.006102254811232,0.00891270189162896,0.0028104470803969606,0.9188494727816006,14852718740.0,8956425330.0,0.09475421912908591,0.034840514928785565,-0.059913704200300344,0.00027990392662541514,6.071532165918825e-18,0.031456223742474865,region,0.0006074382228932663,0.001412,"[{""feature"": ""region"", ""psi"": 0.0006074382228932663}, {""feature"": ""income"", ""psi"": 0.0002773457606262278}, {""feature"": ""age"", ""psi"": 0.0002348317229821664}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,1.0059336817698336e-11,6,"Cluster_6: occupation = Salaried AND age >= 50.5 AND income >= 100,986.5",0.9992797497130252,0.8968094454151558,2.2040079761254106e-08,0.9188494727816006,True,0.0021,8e-06,0.0,1.0,Population Share: Stable,0.0282,0.000434,Segment performance stable,7,K-Means Clustering
121399,73273,0.121399,0.073273,14282,9492,0.02429835777617348,0.11764512063526059,0.129542942147858,0.011897821512597412,7.993605777301127e-15,0.49777924233283466,0.5049411715961024,0.007161929263267752,-0.004441515334330681,0.009882343192204823,0.014323858526535505,0.009491001413179767,0.012301199519824946,0.0028101981066451787,0.2751295591836578,18222880318.0,10991043615.0,0.11625445987640635,0.042755184690557876,-0.07349927518584848,0.00029908879370393616,9.540979117872439e-18,0.03858676336705863,region,0.0007472272974281815,0.000665,"[{""feature"": ""region"", ""psi"": 0.0007472272974281815}, {""feature"": ""age"", ""psi"": 0.0003043019695978647}, {""feature"": ""income"", ""psi"": 0.00014482590778969835}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,8.194813885850953e-12,1,"Cluster_1: occupation = Salaried AND age < 45.5 AND income >= 82,247.5",0.9931715303862082,0.8494386279952882,1.1419436824715896e-14,0.4585492653060963,True,0.0032,0.0,0.0,1.0,Population Share: Stable,0.0133,0.00105,Segment performance stable,8,K-Means Clustering
100090,60632,0.10009,0.060632,11681,7933,0.019778203128549086,0.11670496553102208,0.13083850112151998,0.014133535590497903,0.0,0.502389109412815,0.5044752410596414,0.0020861316468263613,0.0047782188256300095,0.008950482119282732,0.004172263293652723,0.007821674982046112,0.011978273504652026,0.004156598522605914,0.33356059211032596,15027087653.0,9080204924.0,0.09586662087053992,0.03532201783130974,-0.06054460303923018,0.0002366370224232535,2.6020852139652106e-18,0.04656893822293151,age,0.0004702835883952831,0.000471,"[{""feature"": ""age"", ""psi"": 0.0004702835883952831}, {""feature"": ""region"", ""psi"": 0.00028227895875436606}, {""feature"": ""income"", ""psi"": 0.00019398554254336492}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,9.777222629629362e-12,8,"Cluster_8: occupation = Business AND age < 49.5 AND income < 102,603.5",0.9728214229989078,0.9966729943051253,0.0,0.4765151315861799,True,0.0022,0.0,0.0,1.0,Population Share: Stable,0.0094,0.000253,Segment performance stable,9,K-Means Clustering
86230,52410,0.08623,0.05241,10069,6837,0.01683967916131835,0.11676910587962426,0.13045220377790498,0.013683097898280719,4.3520742565306136e-14,0.49845368698343007,0.5020095939182432,0.0035559069348131134,-0.003092626033139867,0.00401918783648636,0.007111813869626227,0.007704365384029965,0.012669016136751532,0.004964650752721567,0.12452251830485506,12930765403.0,7870079569.0,0.0824929496040982,0.03061462744472797,-0.05187832215937023,0.00014433147536960242,1.734723475976807e-18,0.04492665142234925,income,0.0002570144214075223,0.000185,"[{""feature"": ""income"", ""psi"": 0.0002570144214075223}, {""feature"": ""age"", ""psi"": 0.00019087632829432256}, {""feature"": ""region"", ""psi"": 0.00012943515177656488}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,1.117847401695355e-11,0,"Cluster_0: occupation != Salaried AND age < 46.5 AND income >= 102,603.5",0.9838343949044586,0.8956395685956163,4.835638062811793e-14,0.2490450366097101,True,0.0016,0.0,0.0,1.0,Population Share: Stable,0.0037,0.000373,Segment performance stable,10,K-Means Clustering
